seed,scenario,policy,sku,placed_day,arrival_day,expiry_day,received_kg
0,base,sales_only,BEEF-A,230,231,237,18
0,base,sales_only,BEEF-A,231,232,238,103
0,base,sales_only,BEEF-A,232,235,241,38
0,base,sales_only,BEEF-A,233,236,242,151
0,base,sales_only,BEEF-A,235,236,242,46
0,base,sales_only,BEEF-A,234,237,243,34
0,base,sales_only,BEEF-A,236,237,243,41
0,base,sales_only,BEEF-A,237,238,244,49
0,base,sales_only,CHICKEN-B,1,2,7,7
0,base,sales_only,CHICKEN-B,0,3,8,101
0,base,sales_only,CHICKEN-B,2,3,8,61
0,base,sales_only,CHICKEN-B,3,4,9,95
0,base,sales_only,CHICKEN-B,4,5,10,22
0,base,sales_only,CHICKEN-B,5,6,11,70
0,base,sales_only,CHICKEN-B,6,7,12,14
0,base,sales_only,CHICKEN-B,7,8,13,76
0,base,sales_only,CHICKEN-B,8,9,14,17
0,base,sales_only,CHICKEN-B,9,10,15,4
0,base,sales_only,CHICKEN-B,10,11,16,18
0,base,sales_only,CHICKEN-B,11,12,17,66
0,base,sales_only,CHICKEN-B,13,14,19,39
0,base,sales_only,CHICKEN-B,12,15,20,57
0,base,sales_only,CHICKEN-B,14,15,20,54
0,base,sales_only,CHICKEN-B,16,17,22,17
0,base,sales_only,CHICKEN-B,15,18,23,57
0,base,sales_only,CHICKEN-B,17,18,23,1
0,base,sales_only,CHICKEN-B,18,19,24,64
0,base,sales_only,CHICKEN-B,19,20,25,31
0,base,sales_only,CHICKEN-B,21,22,27,48
0,base,sales_only,CHICKEN-B,20,23,28,37
0,base,sales_only,CHICKEN-B,22,23,28,27
0,base,sales_only,CHICKEN-B,24,25,30,47
0,base,sales_only,CHICKEN-B,23,26,31,33
0,base,sales_only,CHICKEN-B,25,26,31,49
0,base,sales_only,CHICKEN-B,26,27,32,49
0,base,sales_only,CHICKEN-B,27,28,33,66
0,base,sales_only,CHICKEN-B,28,31,36,36
0,base,sales_only,CHICKEN-B,30,31,36,37
0,base,sales_only,CHICKEN-B,29,32,37,45
0,base,sales_only,CHICKEN-B,31,32,37,61
0,base,sales_only,CHICKEN-B,33,34,39,44
0,base,sales_only,CHICKEN-B,32,35,40,26
0,base,sales_only,CHICKEN-B,34,35,40,38
0,base,sales_only,CHICKEN-B,35,36,41,27
0,base,sales_only,CHICKEN-B,36,37,42,30
0,base,sales_only,CHICKEN-B,37,38,43,34
0,base,sales_only,CHICKEN-B,38,39,44,34
0,base,sales_only,CHICKEN-B,39,40,45,44
0,base,sales_only,CHICKEN-B,40,41,46,35
0,base,sales_only,CHICKEN-B,41,44,49,21
0,base,sales_only,CHICKEN-B,43,44,49,20
0,base,sales_only,CHICKEN-B,42,45,50,39
0,base,sales_only,CHICKEN-B,44,45,50,37
0,base,sales_only,CHICKEN-B,45,46,51,40
0,base,sales_only,CHICKEN-B,46,47,52,37
0,base,sales_only,CHICKEN-B,47,48,53,65
0,base,sales_only,CHICKEN-B,48,49,54,29
0,base,sales_only,CHICKEN-B,49,50,55,18
0,base,sales_only,CHICKEN-B,50,51,56,29
0,base,sales_only,CHICKEN-B,51,52,57,41
0,base,sales_only,CHICKEN-B,52,53,58,64
0,base,sales_only,CHICKEN-B,53,54,59,69
0,base,sales_only,CHICKEN-B,54,55,60,53
0,base,sales_only,CHICKEN-B,55,56,61,51
0,base,sales_only,CHICKEN-B,56,57,62,40
0,base,sales_only,CHICKEN-B,57,58,63,32
0,base,sales_only,CHICKEN-B,58,59,64,42
0,base,sales_only,CHICKEN-B,60,61,66,37
0,base,sales_only,CHICKEN-B,59,62,67,67
0,base,sales_only,CHICKEN-B,61,62,67,52
0,base,sales_only,CHICKEN-B,62,63,68,39
0,base,sales_only,CHICKEN-B,64,65,70,54
0,base,sales_only,CHICKEN-B,63,66,71,47
0,base,sales_only,CHICKEN-B,65,66,71,32
0,base,sales_only,CHICKEN-B,66,67,72,70
0,base,sales_only,CHICKEN-B,67,68,73,18
0,base,sales_only,CHICKEN-B,69,70,75,26
0,base,sales_only,CHICKEN-B,68,71,76,34
0,base,sales_only,CHICKEN-B,70,71,76,18
0,base,sales_only,CHICKEN-B,71,72,77,68
0,base,sales_only,CHICKEN-B,72,73,78,47
0,base,sales_only,CHICKEN-B,73,74,79,18
0,base,sales_only,CHICKEN-B,74,75,80,60
0,base,sales_only,CHICKEN-B,75,76,81,23
0,base,sales_only,CHICKEN-B,77,78,83,24
0,base,sales_only,CHICKEN-B,76,79,84,12
0,base,sales_only,CHICKEN-B,78,79,84,67
0,base,sales_only,CHICKEN-B,79,80,85,48
0,base,sales_only,CHICKEN-B,80,81,86,14
0,base,sales_only,CHICKEN-B,82,83,88,64
0,base,sales_only,CHICKEN-B,81,84,89,32
0,base,sales_only,CHICKEN-B,83,84,89,21
0,base,sales_only,CHICKEN-B,85,86,91,28
0,base,sales_only,CHICKEN-B,84,87,92,31
0,base,sales_only,CHICKEN-B,86,87,92,26
0,base,sales_only,CHICKEN-B,87,88,93,55
0,base,sales_only,CHICKEN-B,88,89,94,38
0,base,sales_only,CHICKEN-B,89,90,95,46
0,base,sales_only,CHICKEN-B,91,92,97,77
0,base,sales_only,CHICKEN-B,90,93,98,18
0,base,sales_only,CHICKEN-B,93,94,99,24
0,base,sales_only,CHICKEN-B,92,95,100,50
0,base,sales_only,CHICKEN-B,94,95,100,39
0,base,sales_only,CHICKEN-B,95,96,101,45
0,base,sales_only,CHICKEN-B,96,97,102,35
0,base,sales_only,CHICKEN-B,97,98,103,21
0,base,sales_only,CHICKEN-B,99,100,105,14
0,base,sales_only,CHICKEN-B,98,101,106,37
0,base,sales_only,CHICKEN-B,100,101,106,41
0,base,sales_only,CHICKEN-B,101,102,107,39
0,base,sales_only,CHICKEN-B,102,103,108,24
0,base,sales_only,CHICKEN-B,103,104,109,81
0,base,sales_only,CHICKEN-B,104,105,110,27
0,base,sales_only,CHICKEN-B,105,106,111,51
0,base,sales_only,CHICKEN-B,106,107,112,29
0,base,sales_only,CHICKEN-B,107,108,113,48
0,base,sales_only,CHICKEN-B,108,109,114,45
0,base,sales_only,CHICKEN-B,109,110,115,30
0,base,sales_only,CHICKEN-B,110,111,116,43
0,base,sales_only,CHICKEN-B,111,112,117,10
0,base,sales_only,CHICKEN-B,112,113,118,13
0,base,sales_only,CHICKEN-B,114,115,120,60
0,base,sales_only,CHICKEN-B,113,116,121,48
0,base,sales_only,CHICKEN-B,115,116,121,28
0,base,sales_only,CHICKEN-B,116,117,122,72
0,base,sales_only,CHICKEN-B,117,118,123,76
0,base,sales_only,CHICKEN-B,118,119,124,31
0,base,sales_only,CHICKEN-B,119,120,125,11
0,base,sales_only,CHICKEN-B,120,121,126,48
0,base,sales_only,CHICKEN-B,121,122,127,50
0,base,sales_only,CHICKEN-B,122,123,128,38
0,base,sales_only,CHICKEN-B,123,124,129,61
0,base,sales_only,CHICKEN-B,124,125,130,62
0,base,sales_only,CHICKEN-B,125,126,131,58
0,base,sales_only,CHICKEN-B,126,127,132,50
0,base,sales_only,CHICKEN-B,127,128,133,68
0,base,sales_only,CHICKEN-B,128,129,134,37
0,base,sales_only,CHICKEN-B,129,130,135,57
0,base,sales_only,CHICKEN-B,130,131,136,52
0,base,sales_only,CHICKEN-B,131,132,137,105
0,base,sales_only,CHICKEN-B,132,133,138,19
0,base,sales_only,CHICKEN-B,133,134,139,23
0,base,sales_only,CHICKEN-B,134,135,140,40
0,base,sales_only,CHICKEN-B,135,136,141,76
0,base,sales_only,CHICKEN-B,136,137,142,19
0,base,sales_only,CHICKEN-B,137,138,143,59
0,base,sales_only,CHICKEN-B,139,140,145,35
0,base,sales_only,CHICKEN-B,138,141,146,40
0,base,sales_only,CHICKEN-B,140,141,146,35
0,base,sales_only,CHICKEN-B,141,142,147,48
0,base,sales_only,CHICKEN-B,142,143,148,30
0,base,sales_only,CHICKEN-B,143,144,149,55
0,base,sales_only,CHICKEN-B,145,146,151,86
0,base,sales_only,CHICKEN-B,144,147,152,61
0,base,sales_only,CHICKEN-B,146,147,152,15
0,base,sales_only,CHICKEN-B,147,148,153,75
0,base,sales_only,CHICKEN-B,148,149,154,23
0,base,sales_only,CHICKEN-B,149,150,155,38
0,base,sales_only,CHICKEN-B,151,152,157,66
0,base,sales_only,CHICKEN-B,150,153,158,54
0,base,sales_only,CHICKEN-B,152,153,158,37
0,base,sales_only,CHICKEN-B,153,154,159,62
0,base,sales_only,CHICKEN-B,155,156,161,36
0,base,sales_only,CHICKEN-B,154,157,162,49
0,base,sales_only,CHICKEN-B,156,157,162,46
0,base,sales_only,CHICKEN-B,157,158,163,43
0,base,sales_only,CHICKEN-B,158,159,164,36
0,base,sales_only,CHICKEN-B,159,160,165,66
0,base,sales_only,CHICKEN-B,160,161,166,28
0,base,sales_only,CHICKEN-B,161,162,167,61
0,base,sales_only,CHICKEN-B,162,163,168,43
0,base,sales_only,CHICKEN-B,163,164,169,46
0,base,sales_only,CHICKEN-B,164,165,170,61
0,base,sales_only,CHICKEN-B,165,166,171,98
0,base,sales_only,CHICKEN-B,166,167,172,194
0,base,sales_only,CHICKEN-B,167,168,173,28
0,base,sales_only,CHICKEN-B,168,169,174,36
0,base,sales_only,CHICKEN-B,169,170,175,32
0,base,sales_only,CHICKEN-B,170,171,176,74
0,base,sales_only,CHICKEN-B,171,172,177,62
0,base,sales_only,CHICKEN-B,172,173,178,140
0,base,sales_only,CHICKEN-B,173,174,179,33
0,base,sales_only,CHICKEN-B,174,175,180,64
0,base,sales_only,CHICKEN-B,175,176,181,25
0,base,sales_only,CHICKEN-B,176,177,182,51
0,base,sales_only,CHICKEN-B,177,178,183,53
0,base,sales_only,CHICKEN-B,178,179,184,43
0,base,sales_only,CHICKEN-B,179,180,185,41
0,base,sales_only,CHICKEN-B,180,181,186,93
0,base,sales_only,CHICKEN-B,181,182,187,27
0,base,sales_only,CHICKEN-B,182,185,190,30
0,base,sales_only,CHICKEN-B,184,185,190,56
0,base,sales_only,CHICKEN-B,183,186,191,31
0,base,sales_only,CHICKEN-B,185,186,191,27
0,base,sales_only,CHICKEN-B,186,187,192,158
0,base,sales_only,CHICKEN-B,187,188,193,55
0,base,sales_only,CHICKEN-B,188,189,194,23
0,base,sales_only,CHICKEN-B,189,190,195,35
0,base,sales_only,CHICKEN-B,190,191,196,60
0,base,sales_only,CHICKEN-B,191,192,197,84
0,base,sales_only,CHICKEN-B,192,193,198,37
0,base,sales_only,CHICKEN-B,193,194,199,25
0,base,sales_only,CHICKEN-B,195,196,201,47
0,base,sales_only,CHICKEN-B,194,197,202,138
0,base,sales_only,CHICKEN-B,197,198,203,35
0,base,sales_only,CHICKEN-B,196,199,204,44
0,base,sales_only,CHICKEN-B,198,199,204,38
0,base,sales_only,CHICKEN-B,200,201,206,37
0,base,sales_only,CHICKEN-B,199,202,207,26
0,base,sales_only,CHICKEN-B,201,202,207,51
0,base,sales_only,CHICKEN-B,202,205,210,67
0,base,sales_only,CHICKEN-B,204,205,210,51
0,base,sales_only,CHICKEN-B,203,206,211,31
0,base,sales_only,CHICKEN-B,205,206,211,46
0,base,sales_only,CHICKEN-B,206,207,212,61
0,base,sales_only,CHICKEN-B,208,209,214,87
0,base,sales_only,CHICKEN-B,207,210,215,57
0,base,sales_only,CHICKEN-B,209,210,215,36
0,base,sales_only,CHICKEN-B,210,211,216,71
0,base,sales_only,CHICKEN-B,211,212,217,36
0,base,sales_only,CHICKEN-B,212,213,218,33
0,base,sales_only,CHICKEN-B,213,214,219,46
0,base,sales_only,CHICKEN-B,214,215,220,82
0,base,sales_only,CHICKEN-B,215,216,221,98
0,base,sales_only,CHICKEN-B,216,217,222,53
0,base,sales_only,CHICKEN-B,217,218,223,18
0,base,sales_only,CHICKEN-B,218,219,224,29
0,base,sales_only,CHICKEN-B,219,220,225,44
0,base,sales_only,CHICKEN-B,220,221,226,40
0,base,sales_only,CHICKEN-B,221,222,227,87
0,base,sales_only,CHICKEN-B,222,223,228,55
0,base,sales_only,CHICKEN-B,223,224,229,54
0,base,sales_only,CHICKEN-B,225,226,231,32
0,base,sales_only,CHICKEN-B,224,227,232,49
0,base,sales_only,CHICKEN-B,226,227,232,64
0,base,sales_only,CHICKEN-B,227,228,233,43
0,base,sales_only,CHICKEN-B,228,229,234,52
0,base,sales_only,CHICKEN-B,229,230,235,53
0,base,sales_only,CHICKEN-B,230,231,236,41
0,base,sales_only,CHICKEN-B,231,232,237,31
0,base,sales_only,CHICKEN-B,232,233,238,34
0,base,sales_only,CHICKEN-B,234,235,240,25
0,base,sales_only,CHICKEN-B,233,236,241,41
0,base,sales_only,CHICKEN-B,235,236,241,78
0,base,sales_only,CHICKEN-B,237,238,243,39
0,base,sales_only,CHICKEN-B,236,239,244,168
0,base,sales_only,CHICKEN-B,238,239,244,35
0,base,sales_only,SAUSAGE-C,0,1,9,65
0,base,sales_only,SAUSAGE-C,1,2,10,64
0,base,sales_only,SAUSAGE-C,4,5,13,8
0,base,sales_only,SAUSAGE-C,5,6,14,30
0,base,sales_only,SAUSAGE-C,6,7,15,12
0,base,sales_only,SAUSAGE-C,7,8,16,4
0,base,sales_only,SAUSAGE-C,8,9,17,19
0,base,sales_only,SAUSAGE-C,9,10,18,7
0,base,sales_only,SAUSAGE-C,10,11,19,19
0,base,sales_only,SAUSAGE-C,11,14,22,15
0,base,sales_only,SAUSAGE-C,13,14,22,15
0,base,sales_only,SAUSAGE-C,12,15,23,15
0,base,sales_only,SAUSAGE-C,14,15,23,16
0,base,sales_only,SAUSAGE-C,16,17,25,22
0,base,sales_only,SAUSAGE-C,15,18,26,11
0,base,sales_only,SAUSAGE-C,17,18,26,28
0,base,sales_only,SAUSAGE-C,19,20,28,17
0,base,sales_only,SAUSAGE-C,18,21,29,8
0,base,sales_only,SAUSAGE-C,20,21,29,21
0,base,sales_only,SAUSAGE-C,21,22,30,30
0,base,sales_only,SAUSAGE-C,22,23,31,8
0,base,sales_only,SAUSAGE-C,23,24,32,21
0,base,sales_only,SAUSAGE-C,24,25,33,19
0,base,sales_only,SAUSAGE-C,25,26,34,13
0,base,sales_only,SAUSAGE-C,26,27,35,32
0,base,sales_only,SAUSAGE-C,28,29,37,10
0,base,sales_only,SAUSAGE-C,27,30,38,19
0,base,sales_only,SAUSAGE-C,29,30,38,26
0,base,sales_only,SAUSAGE-C,30,31,39,14
0,base,sales_only,SAUSAGE-C,31,32,40,32
0,base,sales_only,SAUSAGE-C,32,33,41,13
0,base,sales_only,SAUSAGE-C,33,34,42,19
0,base,sales_only,SAUSAGE-C,34,35,43,16
0,base,sales_only,SAUSAGE-C,35,36,44,23
0,base,sales_only,SAUSAGE-C,36,39,47,19
0,base,sales_only,SAUSAGE-C,38,39,47,25
0,base,sales_only,SAUSAGE-C,37,40,48,27
0,base,sales_only,SAUSAGE-C,40,41,49,25
0,base,sales_only,SAUSAGE-C,39,42,50,19
0,base,sales_only,SAUSAGE-C,41,42,50,17
0,base,sales_only,SAUSAGE-C,43,44,52,18
0,base,sales_only,SAUSAGE-C,42,45,53,14
0,base,sales_only,SAUSAGE-C,44,45,53,34
0,base,sales_only,SAUSAGE-C,45,46,54,34
0,base,sales_only,SAUSAGE-C,46,47,55,50
0,base,sales_only,SAUSAGE-C,47,48,56,24
0,base,sales_only,SAUSAGE-C,48,49,57,19
0,base,sales_only,SAUSAGE-C,49,50,58,28
0,base,sales_only,SAUSAGE-C,50,51,59,24
0,base,sales_only,SAUSAGE-C,51,52,60,19
0,base,sales_only,SAUSAGE-C,52,53,61,16
0,base,sales_only,SAUSAGE-C,54,55,63,38
0,base,sales_only,SAUSAGE-C,53,56,64,38
0,base,sales_only,SAUSAGE-C,55,56,64,14
0,base,sales_only,SAUSAGE-C,56,57,65,15
0,base,sales_only,SAUSAGE-C,57,58,66,20
0,base,sales_only,SAUSAGE-C,58,59,67,20
0,base,sales_only,SAUSAGE-C,60,61,69,18
0,base,sales_only,SAUSAGE-C,59,62,70,6
0,base,sales_only,SAUSAGE-C,62,63,71,10
0,base,sales_only,SAUSAGE-C,61,64,72,23
0,base,sales_only,SAUSAGE-C,63,64,72,14
0,base,sales_only,SAUSAGE-C,64,65,73,24
0,base,sales_only,SAUSAGE-C,66,67,75,34
0,base,sales_only,SAUSAGE-C,65,68,76,10
0,base,sales_only,SAUSAGE-C,68,69,77,21
0,base,sales_only,SAUSAGE-C,67,70,78,23
0,base,sales_only,SAUSAGE-C,69,70,78,12
0,base,sales_only,SAUSAGE-C,70,71,79,12
0,base,sales_only,SAUSAGE-C,72,73,81,5
0,base,sales_only,SAUSAGE-C,71,74,82,17
0,base,sales_only,SAUSAGE-C,73,74,82,17
0,base,sales_only,SAUSAGE-C,74,75,83,28
0,base,sales_only,SAUSAGE-C,75,76,84,11
