scenario,seed,policy,requested_kg,sold_kg,unfilled_kg,fill_rate_pct,expired_kg,supply_kg,waste_rate_pct,closing_kg,average_closing_kg,revenue_kes,modelled_contribution_kes
base,7,half_logged,25623,25521,102,99.60192014986535,461,26315,1.7518525555766673,333,373.50555555555553,13081460,3403135.2
base,7,all_logged,25623,25521,102,99.60192014986535,472,26326,1.792904353110993,333,374.6277777777778,13081460,3399513.6
base,8,sales_only,25054,24906,148,99.40927596391793,536,25666,2.0883659315826386,224,356.34444444444443,12752750,3292836.4
base,8,half_logged,25054,24906,148,99.40927596391793,546,25679,2.1262510222360684,227,357.8277777777778,12752750,3288622.8
base,8,all_logged,25054,24906,148,99.40927596391793,559,25694,2.1756051996575074,229,359.3722222222222,12752750,3283120.4
base,9,sales_only,24903,24797,106,99.57434847207163,328,25511,1.285719885539571,386,353.3,12704530,3356404.8
base,9,half_logged,24903,24799,104,99.58237963297594,334,25520,1.3087774294670846,387,354.5444444444444,12705710,3353995.6
base,9,all_logged,24903,24801,102,99.59041079388025,338,25527,1.324088220315744,388,355.74444444444447,12706890,3352442.8
base,10,sales_only,23616,23477,139,99.41141598915989,371,24292,1.527251770130084,444,328.9,12008880,3129488.4
base,10,half_logged,23616,23477,139,99.41141598915989,380,24305,1.5634643077556059,448,329.90555555555557,12008880,3124843.6
base,10,all_logged,23616,23477,139,99.41141598915989,390,24318,1.603750308413521,451,330.93333333333334,12008880,3119635.6
base,11,sales_only,24125,24017,108,99.55233160621762,384,24681,1.5558526801993435,280,353.85555555555555,12274590,3220114.8
base,11,half_logged,24125,24017,108,99.55233160621762,393,24690,1.591737545565006,280,354.98333333333335,12274590,3216102.4
base,11,all_logged,24125,24017,108,99.55233160621762,402,24700,1.6275303643724697,281,356.1277777777778,12274590,3211817.6
base,12,sales_only,25580,25484,96,99.62470680218921,494,26469,1.8663342022743588,491,368.1111111111111,13063360,3382972.0
base,12,half_logged,25580,25484,96,99.62470680218921,505,26480,1.9070996978851964,491,369.1666666666667,13063360,3378280.0
base,12,all_logged,25580,25484,96,99.62470680218921,514,26489,1.9404281022311147,491,370.2111111111111,13063360,3374439.6
base,13,sales_only,25717,25677,40,99.84446086246452,377,26536,1.4207114862827857,482,376.1222222222222,13186780,3452268.4
base,13,half_logged,25717,25678,39,99.8483493409029,382,26542,1.439228392736041,482,376.75555555555553,13187190,3450847.2
base,13,all_logged,25717,25678,39,99.8483493409029,387,26547,1.4577918408859758,482,377.3722222222222,13187190,3449308.4
base,14,sales_only,25512,25273,239,99.063185951709,455,26173,1.7384327360256753,445,356.4277777777778,12967830,3370654.4
base,14,half_logged,25512,25286,226,99.11414236437754,468,26201,1.7861913667417275,447,359.1333333333333,12973980,3367504.8
base,14,all_logged,25512,25303,209,99.1807776732518,480,26230,1.8299656881433473,447,361.75555555555553,12982150,3365007.2
base,15,sales_only,24726,24590,136,99.44997168971932,430,25469,1.6883269857473793,449,353.4555555555556,12608720,3293342.4
base,15,half_logged,24726,24593,133,99.46210466715199,439,25482,1.7227847107762342,450,354.7944444444444,12609950,3290899.6
base,15,all_logged,24726,24593,133,99.46210466715199,456,25499,1.7883054237421074,450,356.06666666666666,12609950,3285516.4
base,16,sales_only,24542,24368,174,99.29101132752017,309,25164,1.2279446828803051,487,352.5777777777778,12455300,3286378.8
base,16,half_logged,24542,24366,176,99.2828620324342,320,25173,1.2712032733484289,487,354.31111111111113,12454480,3280809.2
base,16,all_logged,24542,24366,176,99.2828620324342,333,25186,1.3221631064877313,487,356.22222222222223,12455100,3274954.0
base,17,sales_only,25565,25510,55,99.78486211617445,356,26308,1.3532005473620192,442,368.5444444444444,13075980,3432589.6
base,17,half_logged,25565,25510,55,99.78486211617445,357,26309,1.356950093124026,442,369.2888888888889,13075980,3431922.4
base,17,all_logged,25565,25510,55,99.78486211617445,358,26311,1.3606476378700925,443,370.1,13075980,3431245.6
base,18,sales_only,25086,25045,41,99.83656222594276,352,25798,1.364446856345453,401,366.3222222222222,12865910,3373209.6
base,18,half_logged,25086,25045,41,99.83656222594276,361,25807,1.398845274537916,401,367.0388888888889,12865910,3370496.4
base,18,all_logged,25086,25045,41,99.83656222594276,370,25816,1.433219708707778,401,367.75555555555553,12865910,3367783.2
base,19,sales_only,23969,23908,61,99.7455046101214,354,24744,1.4306498545101842,482,347.02222222222224,12234780,3211918.8
base,19,half_logged,23969,23908,61,99.7455046101214,357,24747,1.4425991029215663,482,347.6277777777778,12234780,3210421.6
base,19,all_logged,23969,23909,60,99.74967666569319,359,24750,1.4505050505050505,482,348.3666666666667,12235190,3209315.2
lean_buffer,0,sales_only,24399,23775,624,97.44251813598918,21,23987,0.08754742151999,191,220.86111111111111,12174120,3345176.0
lean_buffer,0,half_logged,24399,23805,594,97.56547399483586,22,24023,0.09157890355076385,196,225.03333333333333,12190660,3348475.2
lean_buffer,0,all_logged,24399,23830,569,97.66793721054141,24,24054,0.09977550511349463,200,228.9,12203760,3350458.4
lean_buffer,1,sales_only,24392,23978,414,98.30272220400131,21,24292,0.08644821340358966,293,216.0388888888889,12211890,3360410.4
lean_buffer,1,half_logged,24392,24002,390,98.40111511971138,23,24322,0.09456459172765398,297,219.0611111111111,12224730,3362375.2
lean_buffer,1,all_logged,24392,24012,380,98.44211216792391,24,24337,0.09861527715001848,301,221.7277777777778,12229800,3362931.2
lean_buffer,2,sales_only,25458,24919,539,97.8827873360044,13,25224,0.051538217570567715,292,242.41666666666666,12781200,3518922.0
lean_buffer,2,half_logged,25458,24957,501,98.03205279283526,16,25265,0.06332871561448644,292,247.33333333333334,12803190,3522374.0
lean_buffer,2,all_logged,25458,24990,468,98.16167805797785,23,25306,0.09088753655259622,293,251.42222222222222,12821210,3523615.2
lean_buffer,3,sales_only,23865,23561,304,98.7261680284936,24,23899,0.10042261182476254,314,221.73333333333332,12079940,3316950.4
lean_buffer,3,half_logged,23865,23568,297,98.75549968573225,25,23909,0.10456313522104647,316,224.79444444444445,12083710,3316989.6
lean_buffer,3,all_logged,23865,23577,288,98.79321181646763,26,23922,0.10868656466850597,319,227.95555555555555,12088780,3317314.4
lean_buffer,4,sales_only,24551,24127,424,98.27298277055924,33,24440,0.13502454991816695,280,228.95,12412470,3400171.2
lean_buffer,4,half_logged,24551,24132,419,98.29334853977434,40,24457,0.16355235719834813,285,231.83333333333334,12414910,3396516.0
lean_buffer,4,all_logged,24551,24143,408,98.33815323204757,52,24486,0.21236625010209917,291,234.63333333333333,12421010,3391582.8
lean_buffer,5,sales_only,25540,24874,666,97.39232576350823,29,25177,0.11518449378400922,274,234.86666666666667,12763060,3502419.2
lean_buffer,5,half_logged,25540,24896,644,97.47846515270165,31,25204,0.12299634978574829,277,240.5888888888889,12775300,3504145.2
lean_buffer,5,all_logged,25540,24915,625,97.55285826155051,36,25231,0.1426816218144346,280,246.01111111111112,12785410,3504214.4
lean_buffer,6,sales_only,24478,23673,805,96.71133262521448,26,23943,0.10859123752244915,244,204.0222222222222,12138600,3335500.8
lean_buffer,6,half_logged,24478,23719,759,96.89925647520222,29,23998,0.12084340361696808,250,210.36111111111111,12159490,3338928.0
lean_buffer,6,all_logged,24478,23762,716,97.0749244219299,31,24045,0.1289249324183822,252,216.10555555555555,12179170,3342600.8
lean_buffer,7,sales_only,25623,25098,525,97.95105959489521,31,25301,0.12252480139124935,172,232.0388888888889,12856370,3533946.4
lean_buffer,7,half_logged,25623,25125,498,98.05643367287203,34,25336,0.13419640037890748,177,236.6611111111111,12870480,3535560.8
lean_buffer,7,all_logged,25623,25144,479,98.13058580181868,39,25364,0.15376123639804448,181,240.6888888888889,12880500,3534960.8
lean_buffer,8,sales_only,25054,24345,709,97.17011255687714,42,24464,0.17168083714846305,77,221.64444444444445,12461500,3419293.2
lean_buffer,8,half_logged,25054,24397,657,97.3776642452303,49,24525,0.199796126401631,79,226.46666666666667,12486900,3423138.8
lean_buffer,8,all_logged,25054,24435,619,97.529336632873,58,24574,0.23602181167087166,81,230.8,12506240,3424094.8
lean_buffer,9,sales_only,24903,24290,613,97.53844918282938,15,24536,0.06113465927616563,231,215.54444444444445,12434570,3426121.6
lean_buffer,9,half_logged,24903,24314,589,97.63482311368108,16,24565,0.06513331976389172,235,220.63333333333333,12447540,3428408.8
lean_buffer,9,all_logged,24903,24334,569,97.71513472272417,18,24592,0.07319453480806766,240,225.26666666666668,12458650,3429661.6
lean_buffer,10,sales_only,23616,22877,739,96.87076558265582,40,23202,0.17239893112662702,285,201.20555555555555,11694520,3205906.4
lean_buffer,10,half_logged,23616,22914,702,97.02743902439025,51,23259,0.21926996001547788,294,206.17777777777778,11714700,3204550.4
lean_buffer,10,all_logged,23616,22943,673,97.15023712737127,59,23305,0.25316455696202533,303,210.7,11730690,3203739.2
lean_buffer,11,sales_only,24125,23660,465,98.07253886010362,24,23820,0.10075566750629723,136,222.47222222222223,12094050,3329634.0
lean_buffer,11,half_logged,24125,23673,452,98.12642487046632,27,23839,0.11325978438692898,139,226.25555555555556,12101340,3330179.2
lean_buffer,11,all_logged,24125,23677,448,98.14300518134715,30,23850,0.12578616352201258,143,229.92222222222222,12103780,3329191.2
lean_buffer,12,sales_only,25580,24951,629,97.54104769351055,67,25346,0.2643415134537994,328,227.75555555555556,12802160,3497963.2
lean_buffer,12,half_logged,25580,24989,591,97.68960125097733,81,25404,0.31884742560226736,334,232.99444444444444,12818900,3496828.8
lean_buffer,12,all_logged,25580,25015,565,97.79124315871775,91,25446,0.35762005816238307,340,237.55,12830410,3495742.8
lean_buffer,13,sales_only,25717,25307,410,98.4057238402613,27,25661,0.10521803515061767,327,235.27777777777777,13005740,3569020.0
lean_buffer,13,half_logged,25717,25348,369,98.56515145623517,37,25713,0.14389608369307355,328,239.01666666666668,13024610,3570631.6
lean_buffer,13,all_logged,25717,25375,342,98.67014037407162,44,25748,0.17088705918906322,329,242.11111111111111,13037250,3571716.0
lean_buffer,14,sales_only,25512,24690,822,96.77798682972718,43,25008,0.1719449776071657,275,220.12777777777777,12668050,3473131.6
lean_buffer,14,half_logged,25512,24719,793,96.89165882721856,45,25051,0.17963354756297154,287,226.57222222222222,12683550,3475403.6
lean_buffer,14,all_logged,25512,24754,758,97.0288491690185,48,25099,0.19124267899119488,297,232.94444444444446,12701580,3477946.0
lean_buffer,15,sales_only,24726,24271,455,98.15983175604627,22,24593,0.08945634936770626,300,219.0,12463010,3429964.0
lean_buffer,15,half_logged,24726,24293,433,98.2488069238858,31,24626,0.1258832128644522,302,222.7,12472890,3429391.2
lean_buffer,15,all_logged,24726,24314,412,98.33373776591442,43,24660,0.17437145174371452,303,226.05555555555554,12481820,3428108.0
lean_buffer,16,sales_only,24542,24039,503,97.95045228587728,18,24390,0.07380073800738007,333,219.67777777777778,12284080,3381446.4
lean_buffer,16,half_logged,24542,24049,493,97.99119876130715,18,24402,0.07376444553725105,335,223.8388888888889,12288490,3382087.2
lean_buffer,16,all_logged,24542,24061,481,98.040094531823,21,24418,0.0860021295765419,336,227.84444444444443,12294570,3381470.4
lean_buffer,17,sales_only,25565,25120,445,98.25933893995698,41,25446,0.16112552071052424,285,229.0,12874150,3532894.0
lean_buffer,17,half_logged,25565,25145,420,98.3571288871504,45,25477,0.17662990147976607,287,232.97222222222223,12887190,3533682.0
lean_buffer,17,all_logged,25565,25166,399,98.43927244279288,51,25508,0.19993727458052377,291,236.55555555555554,12897880,3532786.0
lean_buffer,18,sales_only,25086,24754,332,98.67655265885354,35,25032,0.13982102908277405,243,229.4,12721650,3487306.4
lean_buffer,18,half_logged,25086,24770,316,98.74033325360759,37,25053,0.14768690376402027,246,232.82222222222222,12728610,3487713.6
lean_buffer,18,all_logged,25086,24781,305,98.784182412501,40,25069,0.15955961546132674,248,235.92777777777778,12734050,3487106.4
lean_buffer,19,sales_only,23969,23501,468,98.04747799240685,20,23851,0.08385392646010649,330,216.59444444444443,12025380,3308690.4
lean_buffer,19,half_logged,23969,23528,441,98.16012349284493,22,23882,0.09211958797420651,332,219.9777777777778,12038360,3310683.2
lean_buffer,19,all_logged,23969,23555,414,98.272768993283,26,23916,0.10871383174443887,335,223.22222222222223,12051630,3311656.0
larger_buffer,0,sales_only,24399,24399,0,100.0,1486,26375,5.634123222748816,490,480.5777777777778,12500890,2836546.8
larger_buffer,0,half_logged,24399,24399,0,100.0,1486,26375,5.634123222748816,490,480.5777777777778,12500890,2836546.8
larger_buffer,0,all_logged,24399,24399,0,100.0,1486,26375,5.634123222748816,490,480.5777777777778,12500890,2836546.8
larger_buffer,1,sales_only,24392,24392,0,100.0,1397,26370,5.297686765263557,581,476.09444444444443,12421650,2845622.4
larger_buffer,1,half_logged,24392,24392,0,100.0,1397,26370,5.297686765263557,581,476.09444444444443,12421650,2845622.4
larger_buffer,1,all_logged,24392,24392,0,100.0,1397,26370,5.297686765263557,581,476.09444444444443,12421650,2845622.4
larger_buffer,2,sales_only,25458,25441,17,99.93322334825987,1714,27719,6.183484252678668,564,516.1833333333333,13069990,2927539.6
larger_buffer,2,half_logged,25458,25441,17,99.93322334825987,1725,27730,6.220699603317707,564,516.3222222222222,13069990,2921629.6
larger_buffer,2,all_logged,25458,25441,17,99.93322334825987,1737,27742,6.261264508687189,564,516.4722222222222,13069990,2915428.0
larger_buffer,3,sales_only,23865,23865,0,100.0,1318,25773,5.113878865479378,590,477.50555555555553,12230090,2798089.2
larger_buffer,3,half_logged,23865,23865,0,100.0,1318,25773,5.113878865479378,590,478.39444444444445,12230090,2797961.2
larger_buffer,3,all_logged,23865,23865,0,100.0,1318,25773,5.113878865479378,590,479.3,12230090,2797830.8
larger_buffer,4,sales_only,24551,24539,12,99.95112215388376,1480,26566,5.571030640668524,547,489.7055555555556,12620260,2838642.4
larger_buffer,4,half_logged,24551,24539,12,99.95112215388376,1483,26569,5.581692950430953,547,489.81666666666666,12620260,2836946.4
larger_buffer,4,all_logged,24551,24539,12,99.95112215388376,1487,26573,5.595905618484928,547,489.9555555555556,12620260,2834686.4
larger_buffer,5,sales_only,25540,25504,36,99.8590446358653,1547,27629,5.599189257664048,578,509.6611111111111,13093640,2967918.8
larger_buffer,5,half_logged,25540,25504,36,99.8590446358653,1550,27632,5.609438332368269,578,510.1611111111111,13093640,2966556.8
larger_buffer,5,all_logged,25540,25504,36,99.8590446358653,1554,27636,5.623100303951368,578,510.6666666666667,13093640,2964764.0
larger_buffer,6,sales_only,24478,24468,10,99.9591469891331,1417,26416,5.3641732283464565,531,468.55555555555554,12533770,2863468.0
larger_buffer,6,half_logged,24478,24468,10,99.9591469891331,1419,26418,5.3713377242789,531,468.72222222222223,12533770,2862324.0
larger_buffer,6,all_logged,24478,24468,10,99.9591469891331,1421,26420,5.378501135503407,531,468.84444444444443,12533770,2861186.4
larger_buffer,7,sales_only,25623,25596,27,99.89462592202318,1611,27654,5.825558689520503,447,505.77222222222224,13122630,2959518.8
larger_buffer,7,half_logged,25623,25596,27,99.89462592202318,1617,27660,5.845986984815618,447,506.1166666666667,13122630,2957729.2
larger_buffer,7,all_logged,25623,25596,27,99.89462592202318,1621,27664,5.859600925390399,447,506.4277777777778,13122630,2956524.4
larger_buffer,8,sales_only,25054,25027,27,99.89223277720124,1637,27050,6.051756007393715,386,487.1111111111111,12816370,2872776.0
larger_buffer,8,half_logged,25054,25027,27,99.89223277720124,1640,27053,6.062174250545226,386,487.51666666666665,12816370,2871427.6
larger_buffer,8,all_logged,25054,25027,27,99.89223277720124,1644,27057,6.076061647632775,386,487.85555555555555,12816370,2869658.8
larger_buffer,9,sales_only,24903,24891,12,99.95181303457414,1488,26886,5.534478910957375,507,481.34444444444443,12760290,2930476.4
larger_buffer,9,half_logged,24903,24891,12,99.95181303457414,1492,26890,5.54853105243585,507,481.5111111111111,12760290,2929292.4
larger_buffer,9,all_logged,24903,24891,12,99.95181303457414,1497,26895,5.566090351366425,507,481.6222222222222,12760290,2927826.4
larger_buffer,10,sales_only,23616,23595,21,99.91107723577235,1322,25518,5.180656791284584,601,451.4888888888889,12066640,2768555.6
larger_buffer,10,half_logged,23616,23595,21,99.91107723577235,1329,25525,5.20666013712047,601,451.6666666666667,12066640,2764610.0
larger_buffer,10,all_logged,23616,23595,21,99.91107723577235,1335,25530,5.229142185663925,600,451.81666666666666,12066640,2761228.4
larger_buffer,11,sales_only,24125,24099,26,99.89222797927461,1445,25955,5.567328067809671,411,479.72777777777776,12319210,2805479.2
larger_buffer,11,half_logged,24125,24099,26,99.89222797927461,1454,25965,5.599845946466397,412,480.1,12319210,2800915.6
larger_buffer,11,all_logged,24125,24099,26,99.89222797927461,1463,25975,5.632338787295477,413,480.40555555555557,12319210,2796501.6
larger_buffer,12,sales_only,25580,25556,24,99.9061767005473,1777,27969,6.353462762344024,636,499.53333333333336,13099220,2896847.2
larger_buffer,12,half_logged,25580,25556,24,99.9061767005473,1783,27975,6.37354781054513,636,499.8333333333333,13099220,2894524.0
larger_buffer,12,all_logged,25580,25556,24,99.9061767005473,1791,27983,6.400314476646535,636,500.1388888888889,13099220,2891350.0
larger_buffer,13,sales_only,25717,25717,0,100.0,1422,27769,5.12081817854442,630,509.3888888888889,13203180,3035398.0
larger_buffer,13,half_logged,25717,25717,0,100.0,1429,27776,5.144729262672811,630,509.65555555555557,13203180,3033329.6
larger_buffer,13,all_logged,25717,25717,0,100.0,1435,27782,5.165214887337124,630,509.9,13203180,3031554.4
larger_buffer,14,sales_only,25512,25451,61,99.76089683286297,1485,27532,5.393723667005666,596,489.0388888888889,13054630,2983408.4
larger_buffer,14,half_logged,25512,25455,57,99.77657572906867,1487,27538,5.39981117001961,596,489.8,13056430,2982738.8
larger_buffer,14,all_logged,25512,25456,56,99.7804954531201,1490,27543,5.409722978615256,597,490.5388888888889,13056880,2981092.4
larger_buffer,15,sales_only,24726,24666,60,99.75734045134676,1469,26709,5.500018720281553,574,482.49444444444447,12641180,2896540.8
larger_buffer,15,half_logged,24726,24666,60,99.75734045134676,1484,26725,5.5528531337698785,575,483.19444444444446,12641180,2892090.0
larger_buffer,15,all_logged,24726,24666,60,99.75734045134676,1499,26740,5.605833956619297,575,483.90555555555557,12641180,2887637.6
larger_buffer,16,sales_only,24542,24455,87,99.64550566376009,1476,26570,5.5551373729770415,639,479.01666666666665,12503970,2838371.6
larger_buffer,16,half_logged,24542,24455,87,99.64550566376009,1495,26589,5.622625897927715,639,480.02777777777777,12503970,2830796.0
larger_buffer,16,all_logged,24542,24454,88,99.6414310162171,1520,26613,5.71149438244467,639,481.0777777777778,12503250,2820364.8
larger_buffer,17,sales_only,25565,25564,1,99.99608840211226,1387,27547,5.035031037862562,596,500.6277777777778,13107320,3035929.6
larger_buffer,17,half_logged,25565,25564,1,99.99608840211226,1387,27547,5.035031037862562,596,500.6277777777778,13107320,3035929.6
larger_buffer,17,all_logged,25565,25564,1,99.99608840211226,1387,27547,5.035031037862562,596,500.6222222222222,13107320,3035930.4
larger_buffer,18,sales_only,25086,25056,30,99.88041138483617,1526,27134,5.6239404437237415,552,494.2611111111111,12873550,2915196.4
larger_buffer,18,half_logged,25086,25056,30,99.88041138483617,1534,27142,5.65175742391865,552,494.77777777777777,12873550,2912802.0
larger_buffer,18,all_logged,25086,25056,30,99.88041138483617,1541,27149,5.676083833658699,552,495.2611111111111,12873550,2910702.4
larger_buffer,19,sales_only,23969,23966,3,99.98748383328466,1407,26002,5.411122221367587,629,472.0777777777778,12267590,2801380.8
larger_buffer,19,half_logged,23969,23966,3,99.98748383328466,1409,26004,5.418397169666205,629,472.0888888888889,12267590,2800259.2
larger_buffer,19,all_logged,23969,23966,3,99.98748383328466,1409,26004,5.418397169666205,629,472.1111111111111,12267590,2800256.0
shorter_life,0,sales_only,24399,24117,282,98.84421492684126,4300,28757,14.952881037660395,340,322.43888888888887,12346260,1756488.8
shorter_life,0,half_logged,24399,24118,281,98.84831345546948,4410,28870,15.275372358850017,342,324.64444444444445,12346050,1707681.2
shorter_life,0,all_logged,24399,24131,268,98.90159432763637,4527,29002,15.609268326322322,344,326.7055555555556,12353900,1656964.4
shorter_life,1,sales_only,24392,24045,347,98.57740242702525,4236,28676,14.771934718928721,395,317.09444444444443,12234560,1752538.4
shorter_life,1,half_logged,24392,24048,344,98.589701541489,4373,28818,15.174543687972795,397,319.53333333333336,12236410,1694487.2
shorter_life,1,all_logged,24392,24061,331,98.6429977041653,4508,28971,15.560387974181078,402,321.9555555555556,12245460,1638758.4
shorter_life,2,sales_only,25458,25204,254,99.00227826223583,4451,30085,14.79474821339538,430,354.1666666666667,12931590,1884910.0
shorter_life,2,half_logged,25458,25207,251,99.0140623772488,4588,30226,15.178984979818699,431,356.43888888888887,12933750,1821592.8
shorter_life,2,all_logged,25458,25204,254,99.00227826223583,4716,30352,15.537691091196626,432,358.74444444444447,12931770,1762120.8
shorter_life,3,sales_only,23865,23692,173,99.27508904253091,4203,28238,14.884198597634393,343,324.9888888888889,12135720,1682781.6
shorter_life,3,half_logged,23865,23696,169,99.29184998952441,4276,28315,15.101536288186473,343,327.21666666666664,12138600,1650180.8
shorter_life,3,all_logged,23865,23700,165,99.30861093651791,4345,28387,15.306302180575615,342,329.4166666666667,12141210,1621014.0
shorter_life,4,sales_only,24551,24363,188,99.23424707751212,4333,29018,14.932111103453028,322,335.15,12515360,1736128.4
shorter_life,4,half_logged,24551,24369,182,99.25868600057024,4407,29101,15.14380949108278,325,336.6611111111111,12519370,1698250.8
shorter_life,4,all_logged,24551,24371,180,99.26683230825628,4478,29174,15.349283608692671,325,338.06666666666666,12520190,1662348.4
shorter_life,5,sales_only,25540,25229,311,98.78230227094754,4487,30112,14.901036131774708,396,346.02777777777777,12933200,1836412.0
shorter_life,5,half_logged,25540,25237,303,98.81362568519968,4588,30221,15.181496310512557,396,348.6222222222222,12937770,1787858.4
shorter_life,5,all_logged,25540,25242,298,98.83320281910729,4680,30318,15.436374431031071,396,351.1166666666667,12940970,1744039.2
shorter_life,6,sales_only,24478,24076,402,98.35770896315059,3939,28350,13.894179894179894,335,309.4555555555556,12330440,1858858.4
shorter_life,6,half_logged,24478,24090,388,98.41490317836424,4094,28522,14.35383212958418,338,312.7055555555556,12336800,1798670.4
shorter_life,6,all_logged,24478,24110,368,98.49660920009805,4240,28691,14.77815342790422,341,315.9111111111111,12348100,1744708.8
shorter_life,7,sales_only,25623,25225,398,98.44670803574913,4346,29825,14.571668063704946,254,336.6333333333333,12916230,1888254.8
shorter_life,7,half_logged,25623,25228,395,98.45841626663544,4519,30002,15.062329178054796,255,339.80555555555554,12918830,1815378.0
shorter_life,7,all_logged,25623,25232,391,98.47402724115052,4692,30179,15.547234832168064,255,343.0,12921270,1743098.0
shorter_life,8,sales_only,25054,24681,373,98.51121577392831,4699,29535,15.909937362451329,155,324.39444444444445,12618500,1677567.2
shorter_life,8,half_logged,25054,24686,368,98.5311726670392,4811,29660,16.22049898853675,163,327.35,12619980,1629121.6
shorter_life,8,all_logged,25054,24695,359,98.56709507463879,4920,29787,16.517272635713567,172,330.2388888888889,12624960,1582145.6
shorter_life,9,sales_only,24903,24539,364,98.53832871541582,4166,28954,14.388340125716654,249,321.22777777777776,12570910,1879013.2
shorter_life,9,half_logged,24903,24543,360,98.55439103722443,4306,29100,14.79725085910653,251,324.44444444444446,12571310,1823820.0
shorter_life,9,all_logged,24903,24560,343,98.62265590491106,4445,29256,15.193464588460486,251,327.6388888888889,12582310,1771430.0
shorter_life,10,sales_only,23616,23354,262,98.89058265582656,3809,27576,13.812735712213518,413,302.28333333333336,11930240,1792971.2
shorter_life,10,half_logged,23616,23357,259,98.90328590785907,3910,27680,14.125722543352602,413,303.93333333333334,11932400,1744163.6
shorter_life,10,all_logged,23616,23359,257,98.91175474254743,4006,27779,14.420965477518989,414,305.44444444444446,11933840,1697196.0
shorter_life,11,sales_only,24125,23830,295,98.77720207253886,4065,28131,14.450250613202517,236,325.53333333333336,12165560,1791853.2
shorter_life,11,half_logged,24125,23833,292,98.78963730569949,4163,28238,14.74254550605567,242,327.56666666666666,12167850,1743490.4
shorter_life,11,all_logged,24125,23836,289,98.8020725388601,4255,28338,15.015173971345895,247,329.6222222222222,12170140,1698494.4
shorter_life,12,sales_only,25580,25367,213,99.1673182173573,4322,30148,14.335942682765026,459,338.71666666666664,12999270,1879854.8
shorter_life,12,half_logged,25580,25369,211,99.17513682564504,4417,30245,14.604066787898827,459,340.26666666666665,13000710,1837531.6
shorter_life,12,all_logged,25580,25378,202,99.2103205629398,4513,30350,14.86985172981878,459,341.97777777777776,13006880,1797185.2
shorter_life,13,sales_only,25717,25430,287,98.88400668818291,4378,30223,14.485656619131126,415,344.31111111111113,13040150,1895789.2
shorter_life,13,half_logged,25717,25427,290,98.87234125286776,4527,30369,14.906648226810233,415,346.71666666666664,13037680,1828482.8
shorter_life,13,all_logged,25717,25430,287,98.88400668818291,4664,30509,15.287292274410829,415,348.95,13039530,1767811.2
shorter_life,14,sales_only,25512,25111,401,98.42819065537786,3750,29312,12.79339519650655,451,331.1333333333333,12877830,2066696.8
