day,sku,requested_kg,supplier_lead_days
33,CHICKEN-B,46,1
33,SAUSAGE-C,20,1
33,SPECIAL-D,12,1
34,BEEF-A,39,1
34,CHICKEN-B,37,1
34,SAUSAGE-C,16,1
34,SPECIAL-D,11,1
35,BEEF-A,19,3
35,CHICKEN-B,31,1
35,SAUSAGE-C,21,1
35,SPECIAL-D,5,1
36,BEEF-A,27,1
36,CHICKEN-B,30,1
36,SAUSAGE-C,19,3
36,SPECIAL-D,14,1
37,BEEF-A,23,1
37,CHICKEN-B,32,1
37,SAUSAGE-C,25,3
37,SPECIAL-D,8,1
38,BEEF-A,55,3
38,CHICKEN-B,32,1
38,SAUSAGE-C,24,1
38,SPECIAL-D,11,1
39,BEEF-A,34,1
39,CHICKEN-B,43,1
39,SAUSAGE-C,19,3
39,SPECIAL-D,9,1
40,BEEF-A,55,1
40,CHICKEN-B,38,1
40,SAUSAGE-C,24,1
40,SPECIAL-D,7,1
41,BEEF-A,43,1
41,CHICKEN-B,23,3
41,SAUSAGE-C,17,1
41,SPECIAL-D,5,3
42,BEEF-A,45,1
42,CHICKEN-B,40,3
42,SAUSAGE-C,14,3
42,SPECIAL-D,7,1
43,BEEF-A,48,3
43,CHICKEN-B,25,1
43,SAUSAGE-C,17,1
43,SPECIAL-D,4,3
44,BEEF-A,52,1
44,CHICKEN-B,35,1
44,SAUSAGE-C,33,1
44,SPECIAL-D,11,1
45,BEEF-A,54,3
45,CHICKEN-B,35,1
45,SAUSAGE-C,33,1
45,SPECIAL-D,9,3
46,BEEF-A,46,1
46,CHICKEN-B,40,1
46,SAUSAGE-C,45,1
46,SPECIAL-D,9,1
47,BEEF-A,123,1
47,CHICKEN-B,61,1
47,SAUSAGE-C,23,1
47,SPECIAL-D,10,1
48,BEEF-A,20,1
48,CHICKEN-B,30,1
48,SAUSAGE-C,19,1
48,SPECIAL-D,9,1
49,BEEF-A,50,3
49,CHICKEN-B,21,1
49,SAUSAGE-C,28,1
49,SPECIAL-D,8,1
50,BEEF-A,43,1
50,CHICKEN-B,29,1
50,SAUSAGE-C,22,1
50,SPECIAL-D,7,1
51,BEEF-A,34,1
51,CHICKEN-B,40,1
51,SAUSAGE-C,19,1
51,SPECIAL-D,7,1
52,BEEF-A,48,3
52,CHICKEN-B,62,1
52,SAUSAGE-C,17,1
52,SPECIAL-D,10,1
53,BEEF-A,48,1
53,CHICKEN-B,66,1
53,SAUSAGE-C,35,3
53,SPECIAL-D,8,1
54,BEEF-A,32,1
54,CHICKEN-B,53,1
54,SAUSAGE-C,37,1
54,SPECIAL-D,9,3
55,BEEF-A,30,1
55,CHICKEN-B,52,1
55,SAUSAGE-C,14,1
55,SPECIAL-D,9,1
56,BEEF-A,47,1
56,CHICKEN-B,40,1
56,SAUSAGE-C,15,1
56,SPECIAL-D,9,1
57,BEEF-A,47,1
57,CHICKEN-B,33,1
57,SAUSAGE-C,21,1
57,SPECIAL-D,13,3
58,BEEF-A,24,1
58,CHICKEN-B,42,1
58,SAUSAGE-C,19,1
58,SPECIAL-D,5,1
59,BEEF-A,38,1
59,CHICKEN-B,66,3
59,SAUSAGE-C,9,3
59,SPECIAL-D,5,3
60,BEEF-A,54,1
60,CHICKEN-B,36,1
60,SAUSAGE-C,18,1
60,SPECIAL-D,11,1
61,BEEF-A,52,1
61,CHICKEN-B,51,1
61,SAUSAGE-C,22,3
61,SPECIAL-D,17,1
62,BEEF-A,25,3
62,CHICKEN-B,39,1
62,SAUSAGE-C,11,1
62,SPECIAL-D,5,1
63,BEEF-A,40,1
63,CHICKEN-B,45,3
63,SAUSAGE-C,15,1
63,SPECIAL-D,6,1
64,BEEF-A,26,1
64,CHICKEN-B,51,1
64,SAUSAGE-C,23,1
64,SPECIAL-D,10,1
65,BEEF-A,41,1
65,CHICKEN-B,32,1
65,SAUSAGE-C,12,3
65,SPECIAL-D,6,1
66,BEEF-A,31,1
66,CHICKEN-B,65,1
66,SAUSAGE-C,33,1
66,SPECIAL-D,6,1
67,BEEF-A,44,1
67,CHICKEN-B,21,1
67,SAUSAGE-C,22,3
67,SPECIAL-D,6,1
68,BEEF-A,46,1
68,CHICKEN-B,35,3
68,SAUSAGE-C,22,1
68,SPECIAL-D,8,1
69,BEEF-A,17,1
69,CHICKEN-B,25,1
69,SAUSAGE-C,12,1
69,SPECIAL-D,3,1
70,BEEF-A,48,1
70,CHICKEN-B,21,1
70,SAUSAGE-C,13,1
70,SPECIAL-D,6,1
71,BEEF-A,50,1
71,CHICKEN-B,63,1
71,SAUSAGE-C,17,3
71,SPECIAL-D,8,1
72,BEEF-A,67,1
72,CHICKEN-B,40,1
72,SAUSAGE-C,8,1
72,SPECIAL-D,6,1
73,BEEF-A,36,1
73,CHICKEN-B,20,1
73,SAUSAGE-C,19,1
73,SPECIAL-D,5,1
74,BEEF-A,38,1
74,CHICKEN-B,58,1
74,SAUSAGE-C,30,1
74,SPECIAL-D,11,1
75,BEEF-A,57,1
75,CHICKEN-B,27,1
75,SAUSAGE-C,13,1
75,SPECIAL-D,8,1
76,BEEF-A,46,1
76,CHICKEN-B,15,3
76,SAUSAGE-C,10,1
76,SPECIAL-D,4,1
77,BEEF-A,32,1
77,CHICKEN-B,20,1
77,SAUSAGE-C,18,1
77,SPECIAL-D,8,1
78,BEEF-A,27,1
78,CHICKEN-B,38,1
78,SAUSAGE-C,18,1
78,SPECIAL-D,9,1
79,BEEF-A,56,1
79,CHICKEN-B,47,1
79,SAUSAGE-C,13,1
79,SPECIAL-D,9,3
80,BEEF-A,81,1
80,CHICKEN-B,20,1
80,SAUSAGE-C,15,1
80,SPECIAL-D,3,1
81,BEEF-A,25,1
81,CHICKEN-B,37,3
81,SAUSAGE-C,19,1
81,SPECIAL-D,7,1
82,BEEF-A,37,1
82,CHICKEN-B,62,1
82,SAUSAGE-C,23,1
82,SPECIAL-D,6,3
83,BEEF-A,36,1
83,CHICKEN-B,25,1
83,SAUSAGE-C,22,1
83,SPECIAL-D,8,1
84,BEEF-A,65,1
84,CHICKEN-B,32,3
84,SAUSAGE-C,24,3
84,SPECIAL-D,7,1
85,BEEF-A,30,1
85,CHICKEN-B,29,1
85,SAUSAGE-C,27,1
85,SPECIAL-D,4,3
86,BEEF-A,40,1
86,CHICKEN-B,28,1
86,SAUSAGE-C,18,1
86,SPECIAL-D,10,1
87,BEEF-A,54,1
87,CHICKEN-B,56,1
87,SAUSAGE-C,21,1
87,SPECIAL-D,6,3
88,BEEF-A,50,3
88,CHICKEN-B,38,1
88,SAUSAGE-C,14,1
88,SPECIAL-D,5,1
89,BEEF-A,47,1
89,CHICKEN-B,47,1
89,SAUSAGE-C,19,1
89,SPECIAL-D,20,1
90,BEEF-A,19,1
90,CHICKEN-B,20,3
90,SAUSAGE-C,27,3
90,SPECIAL-D,6,1
91,BEEF-A,36,1
91,CHICKEN-B,73,1
91,SAUSAGE-C,18,1
91,SPECIAL-D,5,1
92,BEEF-A,57,1
92,CHICKEN-B,50,3
92,SAUSAGE-C,11,1
92,SPECIAL-D,8,1
93,BEEF-A,44,3
93,CHICKEN-B,25,1
93,SAUSAGE-C,24,1
93,SPECIAL-D,5,1
94,BEEF-A,45,1
94,CHICKEN-B,43,1
94,SAUSAGE-C,37,1
94,SPECIAL-D,7,3
95,BEEF-A,41,3
95,CHICKEN-B,42,1
95,SAUSAGE-C,45,1
95,SPECIAL-D,14,1
96,BEEF-A,57,1
96,CHICKEN-B,35,1
96,SAUSAGE-C,22,1
96,SPECIAL-D,5,1
97,BEEF-A,16,1
97,CHICKEN-B,21,1
97,SAUSAGE-C,11,1
97,SPECIAL-D,6,1
98,BEEF-A,29,1
98,CHICKEN-B,35,3
98,SAUSAGE-C,17,3
98,SPECIAL-D,12,1
99,BEEF-A,25,1
99,CHICKEN-B,20,1
99,SAUSAGE-C,23,1
99,SPECIAL-D,6,3
100,BEEF-A,110,1
100,CHICKEN-B,41,1
100,SAUSAGE-C,39,1
100,SPECIAL-D,7,1
101,BEEF-A,46,1
101,CHICKEN-B,37,1
101,SAUSAGE-C,21,1
101,SPECIAL-D,11,1
102,BEEF-A,53,1
102,CHICKEN-B,28,1
102,SAUSAGE-C,18,1
102,SPECIAL-D,8,1
103,BEEF-A,63,1
103,CHICKEN-B,74,1
103,SAUSAGE-C,17,1
103,SPECIAL-D,13,1
104,BEEF-A,17,1
104,CHICKEN-B,26,1
104,SAUSAGE-C,26,1
104,SPECIAL-D,12,1
105,BEEF-A,23,1
105,CHICKEN-B,47,1
105,SAUSAGE-C,14,1
105,SPECIAL-D,8,1
106,BEEF-A,58,1
106,CHICKEN-B,30,1
106,SAUSAGE-C,15,1
106,SPECIAL-D,6,1
107,BEEF-A,29,1
107,CHICKEN-B,48,1
107,SAUSAGE-C,18,1
107,SPECIAL-D,12,1
108,BEEF-A,79,3
108,CHICKEN-B,42,1
108,SAUSAGE-C,18,1
108,SPECIAL-D,9,1
109,BEEF-A,28,1
109,CHICKEN-B,31,1
109,SAUSAGE-C,47,1
109,SPECIAL-D,10,1
110,BEEF-A,48,1
110,CHICKEN-B,45,1
110,SAUSAGE-C,20,1
110,SPECIAL-D,18,3
111,BEEF-A,28,1
111,CHICKEN-B,12,1
111,SAUSAGE-C,26,1
111,SPECIAL-D,5,1
112,BEEF-A,63,3
112,CHICKEN-B,15,1
112,SAUSAGE-C,23,1
112,SPECIAL-D,16,3
113,BEEF-A,17,1
113,CHICKEN-B,39,3
113,SAUSAGE-C,16,1
113,SPECIAL-D,4,1
114,BEEF-A,38,1
114,CHICKEN-B,51,1
114,SAUSAGE-C,19,1
114,SPECIAL-D,8,3
115,BEEF-A,37,1
115,CHICKEN-B,31,1
115,SAUSAGE-C,10,1
115,SPECIAL-D,6,3
116,BEEF-A,72,3
116,CHICKEN-B,68,1
116,SAUSAGE-C,26,1
116,SPECIAL-D,8,1
117,BEEF-A,91,1
117,CHICKEN-B,72,1
117,SAUSAGE-C,19,1
117,SPECIAL-D,8,1
118,BEEF-A,34,1
118,CHICKEN-B,30,1
118,SAUSAGE-C,13,1
118,SPECIAL-D,7,1
119,BEEF-A,28,1
119,CHICKEN-B,19,1
119,SAUSAGE-C,10,1
119,SPECIAL-D,4,1
120,BEEF-A,39,1
120,CHICKEN-B,48,1
120,SAUSAGE-C,26,1
120,SPECIAL-D,14,1
121,BEEF-A,77,1
121,CHICKEN-B,47,1
121,SAUSAGE-C,23,1
121,SPECIAL-D,11,1
122,BEEF-A,48,3
122,CHICKEN-B,38,1
122,SAUSAGE-C,23,1
122,SPECIAL-D,8,1
123,BEEF-A,84,1
123,CHICKEN-B,59,1
123,SAUSAGE-C,31,1
123,SPECIAL-D,10,1
124,BEEF-A,82,1
124,CHICKEN-B,59,1
124,SAUSAGE-C,26,1
124,SPECIAL-D,6,1
125,BEEF-A,26,1
125,CHICKEN-B,53,1
125,SAUSAGE-C,22,1
125,SPECIAL-D,9,3
126,BEEF-A,146,1
126,CHICKEN-B,48,1
126,SAUSAGE-C,10,1
126,SPECIAL-D,8,1
127,BEEF-A,39,1
127,CHICKEN-B,62,1
127,SAUSAGE-C,26,1
127,SPECIAL-D,14,1
128,BEEF-A,32,1
128,CHICKEN-B,38,1
128,SAUSAGE-C,44,1
128,SPECIAL-D,17,1
129,BEEF-A,61,1
129,CHICKEN-B,54,1
129,SAUSAGE-C,37,1
129,SPECIAL-D,11,1
130,BEEF-A,79,1
130,CHICKEN-B,49,1
130,SAUSAGE-C,25,1
130,SPECIAL-D,12,1
131,BEEF-A,47,1
131,CHICKEN-B,101,1
131,SAUSAGE-C,19,1
131,SPECIAL-D,16,3
132,BEEF-A,34,1
132,CHICKEN-B,20,1
132,SAUSAGE-C,42,1
132,SPECIAL-D,5,1
133,BEEF-A,35,1
133,CHICKEN-B,26,1
133,SAUSAGE-C,24,1
133,SPECIAL-D,10,1
134,BEEF-A,27,1
134,CHICKEN-B,39,1
134,SAUSAGE-C,16,1
134,SPECIAL-D,10,3
135,BEEF-A,61,1
135,CHICKEN-B,72,1
135,SAUSAGE-C,23,1
135,SPECIAL-D,7,1
136,BEEF-A,70,1
136,CHICKEN-B,22,1
136,SAUSAGE-C,28,1
136,SPECIAL-D,14,3
137,BEEF-A,118,1
137,CHICKEN-B,54,1
137,SAUSAGE-C,33,3
137,SPECIAL-D,29,1
138,BEEF-A,96,3
138,CHICKEN-B,41,3
138,SAUSAGE-C,36,1
138,SPECIAL-D,14,1
139,BEEF-A,109,1
139,CHICKEN-B,32,1
139,SAUSAGE-C,25,1
139,SPECIAL-D,9,1
140,BEEF-A,26,1
140,CHICKEN-B,32,1
140,SAUSAGE-C,18,1
140,SPECIAL-D,12,1
141,BEEF-A,30,1
141,CHICKEN-B,47,1
141,SAUSAGE-C,28,3
141,SPECIAL-D,9,1
142,BEEF-A,66,1
142,CHICKEN-B,33,1
142,SAUSAGE-C,27,1
142,SPECIAL-D,17,1
143,BEEF-A,57,1
143,CHICKEN-B,52,1
143,SAUSAGE-C,18,1
143,SPECIAL-D,4,1
144,BEEF-A,79,1
144,CHICKEN-B,62,3
144,SAUSAGE-C,27,1
144,SPECIAL-D,10,3
145,BEEF-A,66,1
145,CHICKEN-B,84,1
145,SAUSAGE-C,28,1
145,SPECIAL-D,11,1
146,BEEF-A,41,1
146,CHICKEN-B,17,1
146,SAUSAGE-C,9,1
146,SPECIAL-D,5,1
147,BEEF-A,63,1
147,CHICKEN-B,68,1
147,SAUSAGE-C,19,1
147,SPECIAL-D,7,1
148,BEEF-A,39,1
148,CHICKEN-B,26,1
148,SAUSAGE-C,9,1
148,SPECIAL-D,24,1
149,BEEF-A,29,1
149,CHICKEN-B,39,1
149,SAUSAGE-C,22,1
149,SPECIAL-D,9,1
150,BEEF-A,30,1
150,CHICKEN-B,52,3
150,SAUSAGE-C,18,1
150,SPECIAL-D,6,1
151,BEEF-A,70,1
151,CHICKEN-B,65,1
151,SAUSAGE-C,34,1
151,SPECIAL-D,12,1
152,BEEF-A,67,1
152,CHICKEN-B,40,1
152,SAUSAGE-C,35,1
152,SPECIAL-D,10,1
153,BEEF-A,25,1
153,CHICKEN-B,61,1
153,SAUSAGE-C,13,1
153,SPECIAL-D,8,1
154,BEEF-A,121,3
154,CHICKEN-B,49,3
154,SAUSAGE-C,13,1
154,SPECIAL-D,8,3
155,BEEF-A,101,1
155,CHICKEN-B,39,1
155,SAUSAGE-C,33,1
155,SPECIAL-D,11,1
156,BEEF-A,41,1
156,CHICKEN-B,45,1
156,SAUSAGE-C,18,1
156,SPECIAL-D,6,1
157,BEEF-A,30,1
157,CHICKEN-B,44,1
157,SAUSAGE-C,26,1
157,SPECIAL-D,7,1
158,BEEF-A,57,1
158,CHICKEN-B,38,1
158,SAUSAGE-C,39,1
158,SPECIAL-D,13,1
159,BEEF-A,78,1
159,CHICKEN-B,70,1
159,SAUSAGE-C,25,1
159,SPECIAL-D,13,1
160,BEEF-A,41,1
160,CHICKEN-B,27,1
160,SAUSAGE-C,28,1
160,SPECIAL-D,25,1
161,BEEF-A,78,3
161,CHICKEN-B,57,1
161,SAUSAGE-C,30,1
161,SPECIAL-D,15,1
162,BEEF-A,38,1
162,CHICKEN-B,42,1
162,SAUSAGE-C,28,1
162,SPECIAL-D,7,1
163,BEEF-A,51,1
163,CHICKEN-B,50,1
163,SAUSAGE-C,34,1
163,SPECIAL-D,12,1
164,BEEF-A,73,1
164,CHICKEN-B,56,1
164,SAUSAGE-C,18,1
164,SPECIAL-D,23,1
165,BEEF-A,61,1
165,CHICKEN-B,92,1
165,SAUSAGE-C,14,1
165,SPECIAL-D,9,1
166,BEEF-A,68,1
166,CHICKEN-B,175,1
166,SAUSAGE-C,20,1
166,SPECIAL-D,11,1
167,BEEF-A,39,1
167,CHICKEN-B,29,1
167,SAUSAGE-C,13,1
167,SPECIAL-D,5,1
168,BEEF-A,35,1
168,CHICKEN-B,35,1
168,SAUSAGE-C,12,1
168,SPECIAL-D,18,1
169,BEEF-A,47,1
169,CHICKEN-B,34,1
169,SAUSAGE-C,14,1
169,SPECIAL-D,14,1
170,BEEF-A,41,1
170,CHICKEN-B,69,1
170,SAUSAGE-C,38,3
170,SPECIAL-D,10,1
171,BEEF-A,64,1
171,CHICKEN-B,61,1
171,SAUSAGE-C,18,1
171,SPECIAL-D,8,1
172,BEEF-A,95,3
172,CHICKEN-B,130,1
172,SAUSAGE-C,18,3
172,SPECIAL-D,13,1
173,BEEF-A,105,1
173,CHICKEN-B,39,1
173,SAUSAGE-C,19,3
173,SPECIAL-D,20,1
174,BEEF-A,30,1
174,CHICKEN-B,58,1
174,SAUSAGE-C,15,1
174,SPECIAL-D,7,1
175,BEEF-A,44,1
175,CHICKEN-B,31,1
175,SAUSAGE-C,18,1
175,SPECIAL-D,6,1
176,BEEF-A,45,1
176,CHICKEN-B,48,1
176,SAUSAGE-C,16,1
176,SPECIAL-D,7,1
177,BEEF-A,37,3
177,CHICKEN-B,51,1
177,SAUSAGE-C,22,1
177,SPECIAL-D,11,1
178,BEEF-A,91,1
178,CHICKEN-B,43,1
178,SAUSAGE-C,35,3
178,SPECIAL-D,14,1
179,BEEF-A,57,1
179,CHICKEN-B,44,1
179,SAUSAGE-C,63,1
179,SPECIAL-D,11,1
180,BEEF-A,181,1
180,CHICKEN-B,78,1
180,SAUSAGE-C,25,1
180,SPECIAL-D,10,1
181,BEEF-A,31,1
181,CHICKEN-B,31,1
181,SAUSAGE-C,22,1
181,SPECIAL-D,4,1
182,BEEF-A,55,3
182,CHICKEN-B,32,3
182,SAUSAGE-C,9,1
182,SPECIAL-D,5,1
183,BEEF-A,65,1
183,CHICKEN-B,32,3
183,SAUSAGE-C,14,3
183,SPECIAL-D,14,1
184,BEEF-A,49,1
184,CHICKEN-B,55,1
184,SAUSAGE-C,44,1
184,SPECIAL-D,14,1
185,BEEF-A,63,1
185,CHICKEN-B,29,1
185,SAUSAGE-C,17,1
185,SPECIAL-D,6,1
186,BEEF-A,56,3
186,CHICKEN-B,100,1
186,SAUSAGE-C,31,1
186,SPECIAL-D,14,1
187,BEEF-A,62,1
187,CHICKEN-B,57,1
187,SAUSAGE-C,47,1
187,SPECIAL-D,10,1
188,BEEF-A,29,1
188,CHICKEN-B,24,1
188,SAUSAGE-C,16,1
188,SPECIAL-D,16,1
189,BEEF-A,33,1
189,CHICKEN-B,37,1
189,SAUSAGE-C,23,1
189,SPECIAL-D,6,1
190,BEEF-A,31,1
190,CHICKEN-B,58,1
190,SAUSAGE-C,17,1
190,SPECIAL-D,4,1
191,BEEF-A,60,3
191,CHICKEN-B,80,1
191,SAUSAGE-C,18,1
191,SPECIAL-D,4,1
192,BEEF-A,72,3
192,CHICKEN-B,39,1
192,SAUSAGE-C,9,1
192,SPECIAL-D,20,3
193,BEEF-A,94,1
193,CHICKEN-B,34,1
193,SAUSAGE-C,28,1
193,SPECIAL-D,10,1
194,BEEF-A,77,1
194,CHICKEN-B,142,3
194,SAUSAGE-C,61,1
194,SPECIAL-D,7,1
195,BEEF-A,24,1
195,CHICKEN-B,45,1
195,SAUSAGE-C,31,1
195,SPECIAL-D,6,1
196,BEEF-A,34,1
196,CHICKEN-B,43,3
196,SAUSAGE-C,33,1
196,SPECIAL-D,10,1
197,BEEF-A,50,1
197,CHICKEN-B,35,1
197,SAUSAGE-C,26,1
197,SPECIAL-D,9,3
198,BEEF-A,88,1
198,CHICKEN-B,42,1
198,SAUSAGE-C,20,3
198,SPECIAL-D,9,1
199,BEEF-A,62,1
199,CHICKEN-B,30,3
199,SAUSAGE-C,37,3
199,SPECIAL-D,9,1
200,BEEF-A,107,1
200,CHICKEN-B,49,1
200,SAUSAGE-C,37,1
200,SPECIAL-D,7,1
201,BEEF-A,136,1
201,CHICKEN-B,49,1
201,SAUSAGE-C,36,1
201,SPECIAL-D,12,3
202,BEEF-A,25,1
202,CHICKEN-B,66,3
202,SAUSAGE-C,12,1
202,SPECIAL-D,4,1
203,BEEF-A,32,1
203,CHICKEN-B,31,3
203,SAUSAGE-C,17,3
203,SPECIAL-D,7,1
204,BEEF-A,64,1
204,CHICKEN-B,51,1
204,SAUSAGE-C,27,3
204,SPECIAL-D,14,1
205,BEEF-A,55,1
205,CHICKEN-B,46,1
205,SAUSAGE-C,80,1
205,SPECIAL-D,11,1
206,BEEF-A,73,1
206,CHICKEN-B,59,1
206,SAUSAGE-C,16,1
206,SPECIAL-D,8,1
207,BEEF-A,127,1
207,CHICKEN-B,55,3
207,SAUSAGE-C,33,1
207,SPECIAL-D,16,1
208,BEEF-A,90,1
208,CHICKEN-B,86,1
208,SAUSAGE-C,17,1
208,SPECIAL-D,10,1
209,BEEF-A,31,1
209,CHICKEN-B,36,1
209,SAUSAGE-C,16,1
209,SPECIAL-D,7,3
210,BEEF-A,26,3
210,CHICKEN-B,66,1
210,SAUSAGE-C,17,1
210,SPECIAL-D,7,1
211,BEEF-A,33,1
211,CHICKEN-B,35,1
211,SAUSAGE-C,22,1
211,SPECIAL-D,7,1
212,BEEF-A,33,3
212,CHICKEN-B,36,1
212,SAUSAGE-C,43,1
212,SPECIAL-D,13,1
213,BEEF-A,47,1
213,CHICKEN-B,44,1
213,SAUSAGE-C,37,1
213,SPECIAL-D,10,3
214,BEEF-A,76,1
214,CHICKEN-B,84,1
214,SAUSAGE-C,50,1
214,SPECIAL-D,11,1
215,BEEF-A,127,1
215,CHICKEN-B,93,1
215,SAUSAGE-C,26,1
215,SPECIAL-D,15,1
216,BEEF-A,24,1
216,CHICKEN-B,49,1
216,SAUSAGE-C,18,1
216,SPECIAL-D,8,3
217,BEEF-A,74,1
217,CHICKEN-B,21,1
217,SAUSAGE-C,16,1
217,SPECIAL-D,27,1
218,BEEF-A,38,1
218,CHICKEN-B,32,1
218,SAUSAGE-C,23,1
218,SPECIAL-D,4,1
219,BEEF-A,60,1
219,CHICKEN-B,49,1
219,SAUSAGE-C,20,3
219,SPECIAL-D,9,1
220,BEEF-A,48,3
220,CHICKEN-B,40,1
220,SAUSAGE-C,24,1
220,SPECIAL-D,15,1
221,BEEF-A,52,1
221,CHICKEN-B,60,1
221,SAUSAGE-C,33,1
221,SPECIAL-D,11,1
222,BEEF-A,82,1
222,CHICKEN-B,66,1
222,SAUSAGE-C,18,1
222,SPECIAL-D,12,1
223,BEEF-A,51,1
223,CHICKEN-B,53,1
223,SAUSAGE-C,34,3
223,SPECIAL-D,10,1
224,BEEF-A,38,1
224,CHICKEN-B,48,3
224,SAUSAGE-C,13,1
224,SPECIAL-D,10,1
225,BEEF-A,50,1
225,CHICKEN-B,32,1
225,SAUSAGE-C,22,1
225,SPECIAL-D,8,1
226,BEEF-A,45,1
226,CHICKEN-B,62,1
226,SAUSAGE-C,13,1
226,SPECIAL-D,10,1
227,BEEF-A,82,3
227,CHICKEN-B,41,1
227,SAUSAGE-C,51,1
227,SPECIAL-D,11,1
228,BEEF-A,67,1
228,CHICKEN-B,52,1
228,SAUSAGE-C,16,1
228,SPECIAL-D,15,1
229,BEEF-A,50,1
229,CHICKEN-B,52,1
229,SAUSAGE-C,49,3
229,SPECIAL-D,13,1
230,BEEF-A,19,1
230,CHICKEN-B,44,1
230,SAUSAGE-C,19,1
230,SPECIAL-D,8,3
231,BEEF-A,94,1
231,CHICKEN-B,31,1
231,SAUSAGE-C,23,3
231,SPECIAL-D,12,1
232,BEEF-A,41,3
232,CHICKEN-B,36,1
232,SAUSAGE-C,26,1
232,SPECIAL-D,6,1
233,BEEF-A,139,3
233,CHICKEN-B,42,3
233,SAUSAGE-C,18,1
233,SPECIAL-D,8,3
234,BEEF-A,39,3
234,CHICKEN-B,28,1
234,SAUSAGE-C,39,1
234,SPECIAL-D,12,1
235,BEEF-A,73,1
235,CHICKEN-B,54,1
235,SAUSAGE-C,28,1
235,SPECIAL-D,5,3
236,BEEF-A,47,1
236,CHICKEN-B,157,3
