line_id,order_id,order_date,customer_id,product_id,salesperson_id,quantity,unit_price,discount_pct,gross_sales,net_sales,cogs,gross_profit
L0000034,O000015,2024-01-23,C076,P026,S04,7,316.2,0.0212,2213.4,2166.48,1768.62,397.86
L0000035,O000015,2024-01-23,C076,P018,S04,9,99.21,0.03,892.89,866.14,629.28,236.86
L0000036,O000015,2024-01-23,C076,P001,S04,4,165.91,0.0094,663.64,657.43,529.24,128.19
L0000037,O000016,2024-01-20,C065,P058,S10,7,372.04,0.0103,2604.28,2577.5,2110.43,467.07
L0000038,O000016,2024-01-20,C065,P041,S10,7,542.96,0.0307,3800.72,3683.89,2540.65,1143.24
L0000039,O000017,2024-01-10,C084,P009,S11,4,103.07,0.024,412.28,402.39,305.52,96.87
L0000040,O000018,2024-01-30,C124,P022,S02,23,79.63,0.0821,1831.49,1681.08,1338.83,342.25
L0000041,O000018,2024-01-30,C124,P052,S02,30,298.15,0.067,8944.5,8345.47,7486.8,858.67
L0000042,O000018,2024-01-30,C124,P008,S02,14,167.48,0.0589,2344.72,2206.58,1748.04,458.54
L0000043,O000019,2024-01-18,C094,P001,S12,11,165.91,0.0649,1825.01,1706.49,1455.41,251.08
L0000044,O000019,2024-01-18,C094,P017,S12,13,119.71,0.0556,1556.23,1469.64,1031.29,438.35
L0000045,O000019,2024-01-18,C094,P035,S12,13,287.19,0.0486,3733.47,3552.08,2961.53,590.55
L0000046,O000020,2024-01-31,C144,P015,S13,14,160.17,0.048,2242.38,2134.8,1568.84,565.96
L0000047,O000020,2024-01-31,C144,P042,S13,19,559.21,0.0477,10624.99,10118.0,6292.8,3825.2
L0000048,O000020,2024-01-31,C144,P005,S13,8,133.29,0.0474,1066.32,1015.73,849.84,165.89
L0000049,O000021,2024-01-18,C035,P043,S07,8,429.58,0.0085,3436.64,3407.39,2315.2,1092.19
L0000050,O000021,2024-01-18,C035,P048,S07,14,194.47,0.0149,2722.58,2681.96,1781.08,900.88
L0000051,O000022,2024-01-27,C126,P018,S09,4,99.21,0.026,396.84,386.53,279.68,106.85
L0000052,O000022,2024-01-27,C126,P003,S09,10,180.47,0.0363,1804.7,1739.1,1321.6,417.5
L0000053,O000022,2024-01-27,C126,P045,S09,14,213.64,0.034,2990.96,2889.41,2076.76,812.65
L0000054,O000022,2024-01-27,C126,P024,S09,7,63.13,0.0286,441.91,429.28,323.54,105.74
L0000055,O000023,2024-01-07,C165,P002,S03,32,111.25,0.0859,3560.0,3254.27,2768.64,485.63
L0000056,O000023,2024-01-07,C165,P004,S03,17,203.83,0.086,3465.11,3167.09,2741.93,425.16
L0000057,O000024,2024-01-28,C060,P051,S07,2,83.67,0.035,167.34,161.49,137.62,23.87
L0000058,O000024,2024-01-28,C060,P058,S07,4,372.04,0.0424,1488.16,1425.02,1205.96,219.06
L0000059,O000024,2024-01-28,C060,P039,S07,2,790.18,0.0368,1580.36,1522.2,1019.24,502.96
L0000060,O000025,2024-01-24,C108,P031,S10,4,644.45,0.0285,2577.8,2504.33,1948.8,555.53
L0000061,O000025,2024-01-24,C108,P029,S10,5,210.7,0.0105,1053.5,1042.44,787.05,255.39
L0000062,O000025,2024-01-24,C108,P050,S10,16,390.75,0.0122,6252.0,6175.74,5071.2,1104.54
L0000063,O000026,2024-01-10,C118,P004,S03,5,203.83,0.022,1019.15,996.77,806.45,190.32
L0000064,O000026,2024-01-10,C118,P031,S03,9,644.45,0.0124,5800.05,5728.32,4384.8,1343.52
L0000065,O000026,2024-01-10,C118,P055,S03,4,225.19,0.0137,900.76,888.43,723.92,164.51
L0000066,O000026,2024-01-10,C118,P026,S03,7,316.2,0.0138,2213.4,2182.88,1768.62,414.26
L0000067,O000027,2024-01-20,C136,P039,S13,41,790.18,0.0673,32397.38,30217.73,20894.42,9323.31
L0000068,O000027,2024-01-20,C136,P028,S13,12,463.46,0.046,5561.52,5305.88,4221.72,1084.16
L0000069,O000028,2024-01-08,C106,P026,S05,3,316.2,0.0191,948.6,930.49,757.98,172.51
L0000070,O000028,2024-01-08,C106,P027,S05,15,261.5,0.015,3922.5,3863.69,2849.1,1014.59
L0000071,O000028,2024-01-08,C106,P047,S05,6,704.46,0.0151,4226.76,4163.1,2744.58,1418.52
L0000072,O000029,2024-01-04,C106,P049,S05,4,398.76,0.0209,1595.04,1561.62,1336.12,225.5
L0000073,O000029,2024-01-04,C106,P028,S05,3,463.46,0.0328,1390.38,1344.83,1055.43,289.4
L0000074,O000029,2024-01-04,C106,P056,S05,9,360.27,0.0364,3242.43,3124.49,2785.05,339.44
L0000075,O000030,2024-01-18,C095,P037,S10,23,763.46,0.0768,17559.58,16210.49,11628.57,4581.92
L0000076,O000030,2024-01-18,C095,P015,S10,35,160.17,0.0584,5605.95,5278.74,3922.1,1356.64
L0000077,O000030,2024-01-18,C095,P052,S10,33,298.15,0.074,9838.95,9110.98,8235.48,875.5
L0000078,O000031,2024-01-09,C180,P023,S07,10,60.37,0.0723,603.7,560.07,444.8,115.27
L0000079,O000031,2024-01-09,C180,P001,S07,30,165.91,0.0683,4977.3,4637.49,3969.3,668.19
L0000080,O000031,2024-01-09,C180,P012,S07,23,121.04,0.077,2783.92,2569.51,2183.85,385.66
L0000081,O000031,2024-01-09,C180,P056,S07,56,360.27,0.0802,20175.12,18557.35,17329.2,1228.15
L0000082,O000032,2024-01-25,C159,P018,S01,7,99.21,0.0203,694.47,680.35,489.44,190.91
L0000083,O000032,2024-01-25,C159,P029,S01,5,210.7,0.0252,1053.5,1026.97,787.05,239.92
L0000084,O000033,2024-01-14,C029,P038,S02,4,608.81,0.0291,2435.24,2364.37,1589.04,775.33
L0000085,O000033,2024-01-14,C029,P032,S02,5,415.18,0.0453,2075.9,1981.94,1560.1,421.84
L0000086,O000034,2024-01-14,C045,P046,S04,24,226.75,0.0846,5442.0,4981.42,3399.6,1581.82
L0000087,O000034,2024-01-14,C045,P015,S04,47,160.17,0.0581,7527.99,7090.59,5266.82,1823.77
L0000088,O000035,2024-01-14,C075,P021,S10,48,141.59,0.0666,6796.32,6343.66,5134.08,1209.58
L0000089,O000035,2024-01-14,C075,P011,S10,15,190.87,0.0631,2863.05,2682.42,2090.55,591.87
L0000090,O000036,2024-01-10,C087,P011,S08,2,190.87,0.0232,381.74,372.89,278.74,94.15
L0000091,O000037,2024-01-17,C131,P023,S01,13,60.37,0.0524,784.81,743.71,578.24,165.47
L0000092,O000037,2024-01-17,C131,P047,S01,8,704.46,0.0506,5635.68,5350.77,3659.44,1691.33
L0000093,O000037,2024-01-17,C131,P053,S01,14,165.38,0.0611,2315.32,2173.88,1918.7,255.18
L0000094,O000038,2024-01-15,C145,P057,S07,3,240.19,0.0299,720.57,699.01,623.79,75.22
L0000095,O000038,2024-01-15,C145,P037,S07,3,763.46,0.0396,2290.38,2199.66,1516.77,682.89
L0000096,O000039,2024-01-12,C130,P029,S08,13,210.7,0.0596,2739.1,2575.79,2046.33,529.46
L0000097,O000040,2024-01-10,C020,P033,S04,16,566.71,0.0716,9067.36,8417.87,6731.68,1686.19
L0000098,O000040,2024-01-10,C020,P025,S04,14,456.91,0.0404,6396.74,6138.62,5012.0,1126.62
L0000099,O000041,2024-01-21,C049,P033,S09,11,566.71,0.0335,6233.81,6024.67,4628.03,1396.64
L0000100,O000041,2024-01-21,C049,P010,S09,6,191.41,0.0038,1148.46,1144.11,918.0,226.11
L0000101,O000042,2024-01-23,C113,P040,S07,1,335.42,0.0093,335.42,332.31,224.87,107.44
L0000102,O000042,2024-01-23,C113,P011,S07,7,190.87,0.0385,1336.09,1284.71,975.59,309.12
L0000103,O000043,2024-01-21,C166,P007,S02,25,73.98,0.0747,1849.5,1711.33,1442.75,268.58
L0000104,O000044,2024-01-31,C155,P038,S06,2,608.81,0.0584,1217.62,1146.47,794.52,351.95
L0000105,O000045,2024-01-22,C101,P006,S01,13,102.8,0.042,1336.4,1280.23,1001.52,278.71
L0000106,O000045,2024-01-22,C101,P020,S01,12,162.02,0.0505,1944.24,1846.0,1365.36,480.64
L0000107,O000046,2024-01-10,C047,P050,S12,3,390.75,0.0381,1172.25,1127.56,950.85,176.71
L0000108,O000047,2024-01-28,C026,P054,S03,4,115.7,0.0387,462.8,444.91,391.16,53.75
L0000109,O000047,2024-01-28,C026,P048,S03,8,194.47,0.0293,1555.76,1510.16,1017.76,492.4
L0000110,O000047,2024-01-28,C026,P057,S03,1,240.19,0.031,240.19,232.74,207.93,24.81
L0000111,O000048,2024-01-20,C043,P027,S03,14,261.5,0.0358,3661.0,3530.05,2659.16,870.89
L0000112,O000048,2024-01-20,C043,P024,S03,16,63.13,0.0484,1010.08,961.22,739.52,221.7
L0000113,O000049,2024-01-18,C062,P051,S15,5,83.67,0.0333,418.35,404.41,344.05,60.36
L0000114,O000049,2024-01-18,C062,P031,S15,31,644.45,0.0395,19977.95,19189.58,15103.2,4086.38
L0000115,O000049,2024-01-18,C062,P058,S15,12,372.04,0.0492,4464.48,4244.81,3617.88,626.93
L0000116,O000049,2024-01-18,C062,P054,S15,22,115.7,0.0518,2545.4,2413.5,2151.38,262.12
L0000117,O000050,2024-01-02,C165,P036,S02,33,231.82,0.0786,7650.06,7049.08,5551.59,1497.49
L0000118,O000050,2024-01-02,C165,P060,S02,14,274.87,0.0785,3848.18,3545.93,3339.28,206.65
L0000119,O000050,2024-01-02,C165,P007,S02,25,73.98,0.0971,1849.5,1669.9,1442.75,227.15
L0000120,O000051,2024-01-27,C116,P027,S07,5,261.5,0.0394,1307.5,1256.03,949.7,306.33
L0000121,O000051,2024-01-27,C116,P004,S07,3,203.83,0.0227,611.49,597.6,483.87,113.73
L0000122,O000051,2024-01-27,C116,P026,S07,7,316.2,0.03,2213.4,2147.04,1768.62,378.42
L0000123,O000051,2024-01-27,C116,P033,S07,11,566.71,0.0349,6233.81,6016.41,4628.03,1388.38
L0000124,O000052,2024-01-16,C115,P002,S12,44,111.25,0.0573,4895.0,4614.36,3806.88,807.48
L0000125,O000052,2024-01-16,C115,P017,S12,36,119.71,0.0826,4309.56,3953.7,2855.88,1097.82
L0000126,O000052,2024-01-16,C115,P014,S12,21,62.06,0.0814,1303.26,1197.22,977.97,219.25
L0000127,O000053,2024-01-14,C164,P008,S03,13,167.48,0.0394,2177.24,2091.53,1623.18,468.35
L0000128,O000053,2024-01-14,C164,P054,S03,4,115.7,0.0265,462.8,450.54,391.16,59.38
L0000129,O000054,2024-01-14,C001,P027,S11,1,261.5,0.0238,261.5,255.28,189.94,65.34
L0000130,O000055,2024-01-31,C135,P031,S10,36,644.45,0.0733,23200.2,21498.9,17539.2,3959.7
L0000131,O000055,2024-01-31,C135,P003,S10,41,180.47,0.0776,7399.27,6824.83,5418.56,1406.27
L0000132,O000056,2024-01-11,C035,P022,S06,8,79.63,0.0056,637.04,633.46,465.68,167.78
L0000133,O000057,2024-01-25,C176,P031,S09,4,644.45,0.0481,2577.8,2453.83,1948.8,505.03
L0000134,O000057,2024-01-25,C176,P041,S09,3,542.96,0.0439,1628.88,1557.44,1088.85,468.59
L0000135,O000057,2024-01-25,C176,P012,S09,18,121.04,0.0405,2178.72,2090.39,1709.1,381.29
L0000136,O000057,2024-01-25,C176,P052,S09,19,298.15,0.0562,5664.85,5346.24,4741.64,604.6
L0000137,O000058,2024-01-02,C166,P056,S01,20,360.27,0.058,7205.4,6787.57,6189.0,598.57
L0000138,O000059,2024-01-24,C113,P012,S07,6,121.04,0.0436,726.24,694.6,569.7,124.9
L0000139,O000060,2024-01-30,C133,P047,S02,12,704.46,0.0736,8453.52,7831.76,5489.16,2342.6
L0000140,O000060,2024-01-30,C133,P028,S02,13,463.46,0.0714,6024.98,5594.62,4573.53,1021.09
L0000141,O000060,2024-01-30,C133,P006,S02,22,102.8,0.0527,2261.6,2142.33,1694.88,447.45
L0000142,O000061,2024-01-24,C091,P051,S15,29,83.67,0.0795,2426.43,2233.51,1995.49,238.02
L0000143,O000062,2024-01-26,C174,P010,S08,15,191.41,0.0501,2871.15,2727.36,2295.0,432.36
L0000144,O000062,2024-01-26,C174,P055,S08,11,225.19,0.0583,2477.09,2332.69,1990.78,341.91
L0000145,O000062,2024-01-26,C174,P039,S08,21,790.18,0.0511,16593.78,15746.36,10702.02,5044.34
L0000146,O000062,2024-01-26,C174,P044,S08,14,848.28,0.0754,11875.92,10980.63,7587.02,3393.61
L0000147,O000063,2024-01-24,C048,P059,S02,14,175.5,0.0309,2457.0,2381.05,2036.58,344.47
L0000148,O000063,2024-01-24,C048,P036,S02,4,231.82,0.0331,927.28,896.62,672.92,223.7
L0000149,O000064,2024-01-03,C175,P046,S09,26,226.75,0.0728,5895.5,5466.13,3682.9,1783.23
L0000150,O000064,2024-01-03,C175,P005,S09,43,133.29,0.0817,5731.47,5263.31,4567.89,695.42
L0000151,O000065,2024-01-06,C093,P013,S03,16,174.44,0.0337,2791.04,2697.11,2027.2,669.91
L0000152,O000066,2024-01-19,C095,P036,S11,19,231.82,0.0754,4404.58,4072.36,3196.37,875.99
L0000153,O000066,2024-01-19,C095,P009,S11,25,103.07,0.0618,2576.75,2417.56,1909.5,508.06
L0000154,O000066,2024-01-19,C095,P040,S11,16,335.42,0.0835,5366.72,4918.83,3597.92,1320.91
L0000155,O000067,2024-01-03,C116,P023,S07,6,60.37,0.0375,362.22,348.64,266.88,81.76
L0000156,O000067,2024-01-03,C116,P009,S07,5,103.07,0.0223,515.35,503.85,381.9,121.95
L0000157,O000068,2024-01-06,C042,P015,S15,20,160.17,0.0849,3203.4,2931.3,2241.2,690.1
L0000158,O000068,2024-01-06,C042,P023,S15,15,60.37,0.1033,905.55,811.97,667.2,144.77
L0000159,O000068,2024-01-06,C042,P034,S15,27,241.4,0.0648,6517.8,6095.2,5323.59,771.61
L0000160,O000068,2024-01-06,C042,P058,S15,26,372.04,0.0626,9673.04,9067.9,7838.74,1229.16
L0000161,O000069,2024-01-20,C155,P037,S07,3,763.46,0.02,2290.38,2244.5,1516.77,727.73
L0000162,O000069,2024-01-20,C155,P003,S07,5,180.47,0.0277,902.35,877.35,660.8,216.55
L0000163,O000069,2024-01-20,C155,P053,S07,3,165.38,0.0393,496.14,476.63,411.15,65.48
L0000164,O000070,2024-01-15,C019,P029,S03,5,210.7,0.0135,1053.5,1039.24,787.05,252.19
L0000165,O000071,2024-01-11,C156,P046,S10,4,226.75,0.026,907.0,883.45,566.6,316.85
L0000166,O000072,2024-01-04,C082,P018,S08,14,99.21,0.0506,1388.94,1318.66,978.88,339.78
L0000167,O000072,2024-01-04,C082,P029,S08,13,210.7,0.0582,2739.1,2579.65,2046.33,533.32
L0000168,O000073,2024-01-28,C041,P047,S13,20,704.46,0.069,14089.2,13117.21,9148.6,3968.61
L0000169,O000073,2024-01-28,C041,P021,S13,24,141.59,0.0646,3398.16,3178.61,2567.04,611.57
L0000170,O000073,2024-01-28,C041,P013,S13,14,174.44,0.0832,2442.16,2238.86,1773.8,465.06
L0000171,O000073,2024-01-28,C041,P049,S13,14,398.76,0.0561,5582.64,5269.38,4676.42,592.96
L0000172,O000074,2024-01-22,C121,P055,S02,15,225.19,0.0617,3377.85,3169.36,2714.7,454.66
L0000173,O000074,2024-01-22,C121,P007,S02,50,73.98,0.0669,3699.0,3451.47,2885.5,565.97
L0000174,O000075,2024-01-19,C144,P019,S12,6,157.82,0.0541,946.92,895.73,661.08,234.65
L0000175,O000076,2024-01-25,C141,P040,S05,6,335.42,0.035,2012.52,1941.98,1349.22,592.76
L0000176,O000076,2024-01-25,C141,P044,S05,5,848.28,0.0378,4241.4,4080.94,2709.65,1371.29
L0000177,O000076,2024-01-25,C141,P008,S05,9,167.48,0.0401,1507.32,1446.95,1123.74,323.21
L0000178,O000077,2024-01-05,C084,P040,S11,7,335.42,0.0454,2347.94,2241.27,1574.09,667.18
L0000179,O000078,2024-01-11,C130,P020,S09,36,162.02,0.0595,5832.72,5485.4,4096.08,1389.32
L0000180,O000078,2024-01-11,C130,P031,S09,33,644.45,0.0452,21266.85,20305.01,16077.6,4227.41
L0000181,O000079,2024-01-24,C177,P031,S03,10,644.45,0.0805,6444.5,5925.52,4872.0,1053.52
L0000182,O000080,2024-01-08,C014,P041,S09,12,542.96,0.0222,6515.52,6370.58,4355.4,2015.18
L0000183,O000081,2024-01-13,C038,P037,S03,2,763.46,0.0457,1526.92,1457.19,1011.18,446.01
L0000184,O000082,2024-01-14,C129,P048,S07,8,194.47,0.04,1555.76,1493.58,1017.76,475.82
L0000185,O000082,2024-01-14,C129,P047,S07,5,704.46,0.0378,3522.3,3389.07,2287.15,1101.92
L0000186,O000082,2024-01-14,C129,P004,S07,7,203.83,0.0214,1426.81,1396.25,1129.03,267.22
L0000187,O000083,2024-01-22,C175,P013,S09,18,174.44,0.1068,3139.92,2804.58,2280.6,523.98
L0000188,O000083,2024-01-22,C175,P016,S09,50,154.93,0.0628,7746.5,7260.39,5322.0,1938.39
L0000189,O000084,2024-01-23,C126,P036,S09,4,231.82,0.0004,927.28,926.89,672.92,253.97
L0000190,O000084,2024-01-23,C126,P060,S09,5,274.87,0.0182,1374.35,1349.39,1192.6,156.79
L0000191,O000085,2024-01-25,C038,P046,S02,6,226.75,0.0401,1360.5,1306.01,849.9,456.11
L0000192,O000086,2024-01-09,C144,P040,S13,15,335.42,0.0669,5031.3,4694.51,3373.05,1321.46
L0000193,O000087,2024-01-02,C172,P004,S08,4,203.83,0.0416,815.32,781.39,645.16,136.23
L0000194,O000087,2024-01-02,C172,P007,S08,10,73.98,0.0372,739.8,712.31,577.1,135.21
L0000195,O000088,2024-01-30,C122,P049,S02,4,398.76,0.0294,1595.04,1548.23,1336.12,212.11
L0000196,O000088,2024-01-30,C122,P019,S02,6,157.82,0.0222,946.92,925.94,661.08,264.86
L0000197,O000089,2024-01-24,C010,P054,S12,6,115.7,0.0719,694.2,644.29,586.74,57.55
L0000198,O000089,2024-01-24,C010,P012,S12,10,121.04,0.0579,1210.4,1140.36,949.5,190.86
L0000199,O000090,2024-01-20,C028,P042,S07,12,559.21,0.0667,6710.52,6262.96,3974.4,2288.56
L0000200,O000091,2024-01-15,C070,P022,S12,5,79.63,0.0162,398.15,391.71,291.05,100.66
L0000201,O000091,2024-01-15,C070,P011,S12,2,190.87,0.0289,381.74,370.69,278.74,91.95
L0000202,O000091,2024-01-15,C070,P047,S12,7,704.46,0.01,4931.22,4882.08,3202.01,1680.07
L0000203,O000092,2024-01-28,C164,P033,S02,5,566.71,0.0386,2833.55,2724.23,2103.65,620.58
L0000204,O000092,2024-01-28,C164,P021,S02,5,141.59,0.0234,707.95,691.36,534.8,156.56
L0000205,O000092,2024-01-28,C164,P006,S02,4,102.8,0.0114,411.2,406.51,308.16,98.35
L0000206,O000093,2024-01-09,C168,P004,S09,2,203.83,0.0272,407.66,396.55,322.58,73.97
L0000207,O000093,2024-01-09,C168,P043,S09,3,429.58,0.0498,1288.74,1224.57,868.2,356.37
L0000208,O000094,2024-01-10,C177,P019,S01,20,157.82,0.0535,3156.4,2987.4,2203.6,783.8
L0000209,O000094,2024-01-10,C177,P024,S01,12,63.13,0.0648,757.56,708.5,554.64,153.86
L0000210,O000095,2024-01-14,C180,P052,S07,17,298.15,0.0586,5068.55,4771.38,4242.52,528.86
L0000211,O000095,2024-01-14,C180,P043,S07,13,429.58,0.0736,5584.54,5173.44,3762.2,1411.24
L0000212,O000095,2024-01-14,C180,P053,S07,25,165.38,0.0704,4134.5,3843.58,3426.25,417.33
L0000213,O000096,2024-01-18,C130,P010,S08,18,191.41,0.0811,3445.38,3166.09,2754.0,412.09
L0000214,O000096,2024-01-18,C130,P011,S08,26,190.87,0.0804,4962.62,4563.48,3623.62,939.86
L0000215,O000097,2024-01-17,C115,P033,S12,24,566.71,0.0538,13601.04,12868.74,10097.52,2771.22
L0000216,O000097,2024-01-17,C115,P027,S12,32,261.5,0.0801,8368.0,7697.75,6078.08,1619.67
L0000217,O000098,2024-01-27,C001,P003,S10,3,180.47,0.063,541.41,507.3,396.48,110.82
L0000218,O000098,2024-01-27,C001,P028,S10,2,463.46,0.034,926.92,895.44,703.62,191.82
L0000219,O000099,2024-01-25,C035,P058,S07,2,372.04,0.0347,744.08,718.26,602.98,115.28
L0000220,O000100,2024-01-22,C170,P056,S03,5,360.27,0.0186,1801.35,1767.92,1547.25,220.67
L0000221,O000101,2024-01-18,C101,P015,S03,34,160.17,0.0583,5445.78,5128.51,3810.04,1318.47
L0000222,O000102,2024-01-24,C140,P053,S02,4,165.38,0.0232,661.52,646.17,548.2,97.97
L0000223,O000102,2024-01-24,C140,P015,S02,7,160.17,0.0296,1121.19,1088.04,784.42,303.62
L0000224,O000103,2024-01-25,C005,P007,S01,6,73.98,0.0134,443.88,437.95,346.26,91.69
L0000225,O000104,2024-01-22,C013,P026,S01,27,316.2,0.0761,8537.4,7887.92,6821.82,1066.1
L0000226,O000104,2024-01-22,C013,P029,S01,51,210.7,0.0685,10745.7,10009.68,8027.91,1981.77
L0000227,O000104,2024-01-22,C013,P015,S01,31,160.17,0.0787,4965.27,4574.62,3473.86,1100.76
L0000228,O000105,2024-01-29,C037,P018,S14,27,99.21,0.067,2678.67,2499.26,1887.84,611.42
L0000229,O000105,2024-01-29,C037,P004,S14,30,203.83,0.0684,6114.9,5696.75,4838.7,858.05
L0000230,O000106,2024-01-02,C089,P021,S15,16,141.59,0.0512,2265.44,2149.41,1711.36,438.05
L0000231,O000106,2024-01-02,C089,P045,S15,10,213.64,0.0655,2136.4,1996.49,1483.4,513.09
L0000232,O000106,2024-01-02,C089,P027,S15,24,261.5,0.0736,6276.0,5814.33,4558.56,1255.77
L0000233,O000107,2024-01-15,C015,P036,S13,4,231.82,0.0086,927.28,919.3,672.92,246.38
L0000234,O000107,2024-01-15,C015,P034,S13,7,241.4,0.0034,1689.8,1684.07,1380.19,303.88
L0000235,O000107,2024-01-15,C015,P009,S13,3,103.07,0.0055,309.21,307.5,229.14,78.36
L0000236,O000107,2024-01-15,C015,P025,S13,2,456.91,0.0103,913.82,904.41,716.0,188.41
L0000237,O000108,2024-01-24,C172,P056,S08,3,360.27,0.0325,1080.81,1045.67,928.35,117.32
L0000238,O000108,2024-01-24,C172,P059,S08,7,175.5,0.0506,1228.5,1166.37,1018.29,148.08
L0000239,O000109,2024-01-13,C120,P024,S13,19,63.13,0.0926,1199.47,1088.44,878.18,210.26
L0000240,O000110,2024-01-16,C082,P027,S08,19,261.5,0.0847,4968.5,4547.86,3608.86,939.0
L0000241,O000111,2024-01-24,C107,P022,S02,3,79.63,0.0254,238.89,232.82,174.63,58.19
L0000242,O000112,2024-01-31,C176,P053,S09,11,165.38,0.0602,1819.18,1709.71,1507.55,202.16
L0000243,O000113,2024-01-24,C126,P051,S09,5,83.67,0.0177,418.35,410.96,344.05,66.91
L0000244,O000114,2024-01-29,C139,P034,S03,5,241.4,0.0428,1207.0,1155.35,985.85,169.5
L0000245,O000114,2024-01-29,C139,P003,S03,8,180.47,0.0609,1443.76,1355.86,1057.28,298.58
L0000246,O000114,2024-01-29,C139,P054,S03,12,115.7,0.0513,1388.4,1317.12,1173.48,143.64
L0000247,O000114,2024-01-29,C139,P055,S03,12,225.19,0.0264,2702.28,2630.84,2171.76,459.08
L0000248,O000115,2024-01-14,C046,P034,S08,10,241.4,0.0647,2414.0,2257.71,1971.7,286.01
L0000249,O000115,2024-01-14,C046,P010,S08,26,191.41,0.0558,4976.66,4699.19,3978.0,721.19
L0000250,O000115,2024-01-14,C046,P016,S08,15,154.93,0.072,2323.95,2156.63,1596.6,560.03
L0000251,O000116,2024-01-23,C058,P055,S05,27,225.19,0.0453,6080.13,5804.58,4886.46,918.12
L0000252,O000116,2024-01-23,C058,P006,S05,9,102.8,0.0397,925.2,888.48,693.36,195.12
L0000253,O000117,2024-01-02,C164,P006,S01,12,102.8,0.0089,1233.6,1222.67,924.48,298.19
L0000254,O000117,2024-01-02,C164,P032,S01,9,415.18,0.0538,3736.62,3535.55,2808.18,727.37
L0000255,O000118,2024-01-29,C178,P060,S11,52,274.87,0.102,14293.24,12835.39,12403.04,432.35
