year_month,region,category,revenue_budget
2024-03,Central,Personal Care,226371.6
2024-03,Central,Snacks,18096.51
2024-03,Central,Staples,64728.75
2024-03,Coast,Beverages,17731.79
2024-03,Coast,Household,36186.93
2024-03,Coast,Personal Care,84501.45
2024-03,Coast,Snacks,34413.75
2024-03,Coast,Staples,16665.2
2024-03,Eastern,Household,13677.66
2024-03,Eastern,Personal Care,62456.25
2024-03,Eastern,Snacks,18073.85
2024-03,Eastern,Staples,14080.12
2024-03,Nairobi,Beverages,72444.99
2024-03,Nairobi,Household,140904.16
2024-03,Nairobi,Personal Care,223846.22
2024-03,Nairobi,Snacks,41888.09
2024-03,Nairobi,Staples,128166.47
2024-03,Nyanza,Beverages,19367.3
2024-03,Nyanza,Household,46577.77
2024-03,Nyanza,Personal Care,95913.31
2024-03,Nyanza,Snacks,15344.96
2024-03,Nyanza,Staples,30900.59
2024-03,Rift Valley,Beverages,63575.09
2024-03,Rift Valley,Household,102827.83
2024-03,Rift Valley,Personal Care,111377.88
2024-03,Rift Valley,Snacks,18954.1
2024-03,Rift Valley,Staples,44011.3
2024-03,Western,Beverages,9141.73
2024-03,Western,Household,24157.3
2024-03,Western,Personal Care,59176.76
2024-03,Western,Snacks,11089.34
2024-03,Western,Staples,7115.9
2024-04,Central,Beverages,36798.4
2024-04,Central,Household,64019.52
2024-04,Central,Personal Care,91089.91
2024-04,Central,Snacks,32930.67
2024-04,Central,Staples,26445.4
2024-04,Coast,Beverages,10178.65
2024-04,Coast,Household,34000.95
2024-04,Coast,Personal Care,51352.07
2024-04,Coast,Snacks,4371.42
2024-04,Coast,Staples,24296.05
2024-04,Eastern,Beverages,844.35
2024-04,Eastern,Household,14631.16
2024-04,Eastern,Personal Care,43196.27
2024-04,Eastern,Snacks,2190.83
2024-04,Eastern,Staples,31373.66
2024-04,Nairobi,Beverages,79988.99
2024-04,Nairobi,Household,215422.76
2024-04,Nairobi,Personal Care,334242.88
2024-04,Nairobi,Snacks,76674.19
2024-04,Nairobi,Staples,122364.28
2024-04,Nyanza,Beverages,14390.73
2024-04,Nyanza,Household,85866.94
2024-04,Nyanza,Personal Care,77165.86
2024-04,Nyanza,Snacks,21142.1
2024-04,Nyanza,Staples,34233.76
2024-04,Rift Valley,Beverages,31545.34
2024-04,Rift Valley,Household,99212.9
2024-04,Rift Valley,Personal Care,222059.29
2024-04,Rift Valley,Snacks,23191.68
2024-04,Rift Valley,Staples,50485.09
2024-04,Western,Beverages,21830.64
2024-04,Western,Household,25526.33
2024-04,Western,Personal Care,84636.57
2024-04,Western,Snacks,22514.36
2024-04,Western,Staples,47688.17
2024-05,Central,Beverages,35163.18
2024-05,Central,Household,61978.05
2024-05,Central,Personal Care,108406.07
2024-05,Central,Snacks,11630.5
2024-05,Central,Staples,32543.32
2024-05,Coast,Beverages,14441.51
2024-05,Coast,Household,84590.19
2024-05,Coast,Personal Care,19054.91
2024-05,Coast,Snacks,12167.97
2024-05,Coast,Staples,21438.82
2024-05,Eastern,Beverages,10309.86
2024-05,Eastern,Household,58118.63
2024-05,Eastern,Personal Care,103506.67
2024-05,Eastern,Snacks,23046.47
2024-05,Eastern,Staples,46224.94
2024-05,Nairobi,Beverages,116235.52
2024-05,Nairobi,Household,182036.29
2024-05,Nairobi,Personal Care,324204.99
2024-05,Nairobi,Snacks,62206.65
2024-05,Nairobi,Staples,93032.45
2024-05,Nyanza,Beverages,35232.27
2024-05,Nyanza,Household,24406.66
2024-05,Nyanza,Personal Care,57074.73
2024-05,Nyanza,Snacks,14424.21
2024-05,Nyanza,Staples,25891.82
2024-05,Rift Valley,Beverages,29173.0
2024-05,Rift Valley,Household,159439.2
2024-05,Rift Valley,Personal Care,177699.83
2024-05,Rift Valley,Snacks,25642.23
2024-05,Rift Valley,Staples,45569.97
2024-05,Western,Beverages,4809.72
2024-05,Western,Household,27207.86
2024-05,Western,Personal Care,42176.14
2024-05,Western,Snacks,3855.86
2024-05,Western,Staples,23109.85
2024-06,Central,Beverages,17067.86
2024-06,Central,Household,80129.14
2024-06,Central,Personal Care,32545.43
2024-06,Central,Snacks,13594.69
2024-06,Central,Staples,27976.95
2024-06,Coast,Beverages,22964.24
2024-06,Coast,Household,25843.77
2024-06,Coast,Personal Care,123659.1
2024-06,Coast,Snacks,5885.36
2024-06,Coast,Staples,14324.45
2024-06,Eastern,Beverages,20733.58
2024-06,Eastern,Household,29876.19
2024-06,Eastern,Personal Care,52358.11
2024-06,Eastern,Snacks,14205.98
2024-06,Eastern,Staples,19958.37
2024-06,Nairobi,Beverages,91924.99
2024-06,Nairobi,Household,145529.48
2024-06,Nairobi,Personal Care,300563.32
2024-06,Nairobi,Snacks,55204.19
2024-06,Nairobi,Staples,149630.2
2024-06,Nyanza,Beverages,17996.57
2024-06,Nyanza,Household,38279.21
2024-06,Nyanza,Personal Care,64554.65
2024-06,Nyanza,Snacks,8261.63
2024-06,Nyanza,Staples,37815.29
2024-06,Rift Valley,Beverages,52029.41
2024-06,Rift Valley,Household,152644.14
2024-06,Rift Valley,Personal Care,172882.6
2024-06,Rift Valley,Snacks,30983.2
2024-06,Rift Valley,Staples,85290.19
2024-06,Western,Beverages,17361.92
2024-06,Western,Household,58395.51
2024-06,Western,Personal Care,88701.97
2024-06,Western,Snacks,13223.56
2024-06,Western,Staples,30462.51
2024-07,Central,Beverages,43164.72
2024-07,Central,Household,45074.38
2024-07,Central,Personal Care,157722.86
2024-07,Central,Snacks,42188.65
2024-07,Central,Staples,69456.11
2024-07,Coast,Beverages,18243.74
2024-07,Coast,Household,64175.16
2024-07,Coast,Personal Care,14030.2
2024-07,Coast,Snacks,5829.57
2024-07,Coast,Staples,20141.78
2024-07,Eastern,Beverages,17104.07
2024-07,Eastern,Household,39047.18
2024-07,Eastern,Personal Care,29802.4
2024-07,Eastern,Snacks,7926.12
2024-07,Eastern,Staples,17927.02
2024-07,Nairobi,Beverages,87295.51
2024-07,Nairobi,Household,95904.28
2024-07,Nairobi,Personal Care,228409.83
2024-07,Nairobi,Snacks,59579.37
2024-07,Nairobi,Staples,115117.25
2024-07,Nyanza,Beverages,52909.01
2024-07,Nyanza,Household,71547.5
2024-07,Nyanza,Personal Care,55480.58
2024-07,Nyanza,Snacks,29897.22
2024-07,Nyanza,Staples,82072.73
2024-07,Rift Valley,Beverages,42078.01
2024-07,Rift Valley,Household,148791.08
2024-07,Rift Valley,Personal Care,204700.0
2024-07,Rift Valley,Snacks,14572.94
2024-07,Rift Valley,Staples,86665.39
2024-07,Western,Beverages,9004.83
2024-07,Western,Household,40659.97
2024-07,Western,Personal Care,31052.17
2024-07,Western,Snacks,15669.39
2024-07,Western,Staples,21941.48
2024-08,Central,Beverages,48208.21
2024-08,Central,Household,94974.34
2024-08,Central,Personal Care,52344.88
2024-08,Central,Snacks,24933.76
2024-08,Central,Staples,27210.9
2024-08,Coast,Beverages,13887.92
2024-08,Coast,Household,27994.55
2024-08,Coast,Personal Care,17816.82
2024-08,Coast,Snacks,15327.79
2024-08,Coast,Staples,26924.77
2024-08,Eastern,Beverages,16264.63
2024-08,Eastern,Household,39398.38
2024-08,Eastern,Personal Care,28625.64
2024-08,Eastern,Snacks,6715.52
2024-08,Eastern,Staples,13883.22
2024-08,Nairobi,Beverages,72082.23
2024-08,Nairobi,Household,155394.06
2024-08,Nairobi,Personal Care,193123.24
2024-08,Nairobi,Snacks,91426.17
2024-08,Nairobi,Staples,137593.14
2024-08,Nyanza,Beverages,6168.15
2024-08,Nyanza,Household,44842.98
2024-08,Nyanza,Personal Care,36430.88
2024-08,Nyanza,Snacks,15199.92
2024-08,Nyanza,Staples,30473.34
2024-08,Rift Valley,Beverages,17383.83
2024-08,Rift Valley,Household,102252.03
2024-08,Rift Valley,Personal Care,154173.72
2024-08,Rift Valley,Snacks,32915.68
2024-08,Rift Valley,Staples,58099.5
2024-08,Western,Beverages,8668.33
2024-08,Western,Household,223540.31
2024-08,Western,Personal Care,130282.6
2024-08,Western,Snacks,17916.44
2024-08,Western,Staples,89059.46
2024-09,Central,Beverages,34731.17
2024-09,Central,Household,48652.62
2024-09,Central,Personal Care,154921.58
2024-09,Central,Snacks,17962.72
2024-09,Central,Staples,50203.79
2024-09,Coast,Beverages,22326.83
2024-09,Coast,Household,39633.82
2024-09,Coast,Personal Care,38469.07
2024-09,Coast,Snacks,5889.49
2024-09,Coast,Staples,31779.4
2024-09,Eastern,Beverages,7990.58
2024-09,Eastern,Household,54245.9
2024-09,Eastern,Personal Care,54730.08
2024-09,Eastern,Snacks,4456.17
2024-09,Eastern,Staples,9255.63
2024-09,Nairobi,Beverages,84986.63
2024-09,Nairobi,Household,150009.78
2024-09,Nairobi,Personal Care,344957.6
2024-09,Nairobi,Snacks,73946.82
2024-09,Nairobi,Staples,122035.93
2024-09,Nyanza,Beverages,16120.63
2024-09,Nyanza,Household,40686.39
2024-09,Nyanza,Personal Care,86640.58
2024-09,Nyanza,Snacks,11518.35
2024-09,Nyanza,Staples,53063.9
2024-09,Rift Valley,Beverages,50082.97
2024-09,Rift Valley,Household,170486.03
2024-09,Rift Valley,Personal Care,168533.08
2024-09,Rift Valley,Snacks,22767.39
2024-09,Rift Valley,Staples,105997.15
2024-09,Western,Beverages,10908.46
2024-09,Western,Household,36179.02
2024-09,Western,Personal Care,43788.7
2024-09,Western,Snacks,20119.5
2024-09,Western,Staples,6152.35
2024-10,Central,Beverages,21290.72
2024-10,Central,Household,43161.7
2024-10,Central,Personal Care,102231.93
2024-10,Central,Snacks,20309.66
2024-10,Central,Staples,19950.5
2024-10,Coast,Beverages,16225.88
2024-10,Coast,Household,69286.77
2024-10,Coast,Personal Care,60815.12
2024-10,Coast,Snacks,10903.22
2024-10,Coast,Staples,57944.52
2024-10,Eastern,Beverages,2352.75
2024-10,Eastern,Household,36576.69
2024-10,Eastern,Personal Care,16139.93
2024-10,Eastern,Snacks,2003.63
2024-10,Eastern,Staples,23404.84
2024-10,Nairobi,Beverages,62577.32
2024-10,Nairobi,Household,132714.01
2024-10,Nairobi,Personal Care,334978.78
2024-10,Nairobi,Snacks,58502.51
2024-10,Nairobi,Staples,155887.03
2024-10,Nyanza,Beverages,7816.9
2024-10,Nyanza,Household,56802.47
2024-10,Nyanza,Personal Care,89381.59
2024-10,Nyanza,Snacks,3934.9
2024-10,Nyanza,Staples,27827.06
2024-10,Rift Valley,Beverages,38677.89
2024-10,Rift Valley,Household,189343.38
2024-10,Rift Valley,Personal Care,164810.69
2024-10,Rift Valley,Snacks,39876.77
2024-10,Rift Valley,Staples,160338.06
2024-10,Western,Beverages,15423.27
2024-10,Western,Household,33059.72
2024-10,Western,Personal Care,131993.28
2024-10,Western,Snacks,17858.84
2024-10,Western,Staples,23725.17
2024-11,Central,Beverages,36374.55
2024-11,Central,Household,41904.81
2024-11,Central,Personal Care,118893.75
2024-11,Central,Snacks,29243.86
2024-11,Central,Staples,23651.19
2024-11,Coast,Beverages,29716.34
2024-11,Coast,Household,36996.71
2024-11,Coast,Personal Care,30946.04
2024-11,Coast,Snacks,15372.69
2024-11,Coast,Staples,35648.43
2024-11,Eastern,Beverages,16512.42
2024-11,Eastern,Household,6565.8
2024-11,Eastern,Personal Care,108856.49
2024-11,Eastern,Snacks,11357.89
2024-11,Eastern,Staples,20384.63
2024-11,Nairobi,Beverages,87237.96
2024-11,Nairobi,Household,237990.53
2024-11,Nairobi,Personal Care,270991.96
2024-11,Nairobi,Snacks,52429.21
2024-11,Nairobi,Staples,115177.9
2024-11,Nyanza,Beverages,18670.95
2024-11,Nyanza,Household,86409.14
2024-11,Nyanza,Personal Care,163868.15
2024-11,Nyanza,Snacks,26561.79
2024-11,Nyanza,Staples,25843.74
2024-11,Rift Valley,Beverages,37035.96
2024-11,Rift Valley,Household,79491.7
2024-11,Rift Valley,Personal Care,189720.9
2024-11,Rift Valley,Snacks,44538.46
2024-11,Rift Valley,Staples,104640.5
2024-11,Western,Beverages,25530.35
2024-11,Western,Household,44012.98
2024-11,Western,Personal Care,141290.7
2024-11,Western,Snacks,16774.41
2024-11,Western,Staples,70179.22
2024-12,Central,Beverages,36395.73
2024-12,Central,Household,86758.24
2024-12,Central,Personal Care,194398.15
2024-12,Central,Snacks,51403.61
2024-12,Central,Staples,96583.39
2024-12,Coast,Beverages,33083.66
2024-12,Coast,Household,72150.87
2024-12,Coast,Personal Care,106714.85
2024-12,Coast,Snacks,14728.61
2024-12,Coast,Staples,47965.36
2024-12,Eastern,Beverages,16897.69
2024-12,Eastern,Household,16025.5
2024-12,Eastern,Personal Care,49967.96
2024-12,Eastern,Snacks,28400.07
2024-12,Eastern,Staples,9128.75
2024-12,Nairobi,Beverages,83061.27
2024-12,Nairobi,Household,221488.23
2024-12,Nairobi,Personal Care,313561.83
2024-12,Nairobi,Snacks,76945.34
2024-12,Nairobi,Staples,162953.44
2024-12,Nyanza,Beverages,18974.18
2024-12,Nyanza,Household,117249.21
2024-12,Nyanza,Personal Care,67199.42
2024-12,Nyanza,Snacks,14275.04
2024-12,Nyanza,Staples,84920.72
2024-12,Rift Valley,Beverages,39567.1
2024-12,Rift Valley,Household,118483.15
2024-12,Rift Valley,Personal Care,144811.76
2024-12,Rift Valley,Snacks,29837.43
2024-12,Rift Valley,Staples,96227.4
2024-12,Western,Beverages,37460.98
2024-12,Western,Household,90341.51
2024-12,Western,Personal Care,143936.19
2024-12,Western,Snacks,21048.16
2024-12,Western,Staples,28230.81
2025-01,Central,Beverages,28828.46
2025-01,Central,Household,79502.25
2025-01,Central,Personal Care,107189.75
2025-01,Central,Snacks,33621.03
2025-01,Central,Staples,21784.38
2025-01,Coast,Beverages,27281.77
2025-01,Coast,Household,37253.95
2025-01,Coast,Personal Care,54921.04
2025-01,Coast,Snacks,6135.62
2025-01,Coast,Staples,60738.08
2025-01,Eastern,Beverages,11623.57
2025-01,Eastern,Household,87020.74
2025-01,Eastern,Personal Care,30494.26
2025-01,Eastern,Snacks,25982.15
2025-01,Eastern,Staples,28588.94
2025-01,Nairobi,Beverages,70220.33
2025-01,Nairobi,Household,122743.51
2025-01,Nairobi,Personal Care,119590.35
2025-01,Nairobi,Snacks,48801.13
2025-01,Nairobi,Staples,76374.41
2025-01,Nyanza,Beverages,28205.15
2025-01,Nyanza,Household,78111.34
2025-01,Nyanza,Personal Care,119378.11
2025-01,Nyanza,Snacks,31895.33
2025-01,Nyanza,Staples,18667.0
2025-01,Rift Valley,Beverages,45072.13
2025-01,Rift Valley,Household,86296.37
2025-01,Rift Valley,Personal Care,121040.84
2025-01,Rift Valley,Snacks,42609.09
2025-01,Rift Valley,Staples,44228.9
2025-01,Western,Beverages,26475.44
2025-01,Western,Household,60937.68
2025-01,Western,Personal Care,160306.36
2025-01,Western,Snacks,44548.61
2025-01,Western,Staples,84625.89
2025-02,Central,Beverages,23827.29
2025-02,Central,Household,54605.51
2025-02,Central,Personal Care,49749.52
2025-02,Central,Snacks,8564.89
2025-02,Central,Staples,24258.95
2025-02,Coast,Beverages,44096.31
2025-02,Coast,Household,55060.03
2025-02,Coast,Personal Care,110880.28
2025-02,Coast,Snacks,24305.15
2025-02,Coast,Staples,34854.44
2025-02,Eastern,Beverages,4580.19
2025-02,Eastern,Household,25107.92
2025-02,Eastern,Personal Care,25233.88
2025-02,Eastern,Snacks,7857.52
2025-02,Eastern,Staples,43162.07
2025-02,Nairobi,Beverages,82324.22
2025-02,Nairobi,Household,191634.96
2025-02,Nairobi,Personal Care,146390.24
2025-02,Nairobi,Snacks,51679.32
2025-02,Nairobi,Staples,192027.27
2025-02,Nyanza,Beverages,38660.1
2025-02,Nyanza,Household,41545.47
2025-02,Nyanza,Personal Care,55388.5
2025-02,Nyanza,Snacks,9110.96
2025-02,Nyanza,Staples,34940.71
2025-02,Rift Valley,Beverages,74163.32
2025-02,Rift Valley,Household,57063.54
2025-02,Rift Valley,Personal Care,138198.34
2025-02,Rift Valley,Snacks,41965.63
2025-02,Rift Valley,Staples,60654.41
2025-02,Western,Beverages,24207.15
2025-02,Western,Household,48980.45
2025-02,Western,Personal Care,109526.15
2025-02,Western,Snacks,20654.53
2025-02,Western,Staples,42207.74
2025-03,Central,Beverages,16352.65
2025-03,Central,Household,110788.74
2025-03,Central,Personal Care,272525.03
2025-03,Central,Snacks,21786.09
2025-03,Central,Staples,77925.88
2025-03,Coast,Beverages,21347.01
2025-03,Coast,Household,43564.85
2025-03,Coast,Personal Care,101729.9
2025-03,Coast,Snacks,41430.15
2025-03,Coast,Staples,20062.96
2025-03,Eastern,Beverages,8341.43
2025-03,Eastern,Household,16466.31
2025-03,Eastern,Personal Care,75190.05
2025-03,Eastern,Snacks,21758.81
2025-03,Eastern,Staples,16950.82
2025-03,Nairobi,Beverages,87215.33
2025-03,Nairobi,Household,169632.2
2025-03,Nairobi,Personal Care,269484.77
2025-03,Nairobi,Snacks,50428.38
2025-03,Nairobi,Staples,154297.5
2025-03,Nyanza,Beverages,23315.97
2025-03,Nyanza,Household,56074.21
2025-03,Nyanza,Personal Care,115468.45
2025-03,Nyanza,Snacks,18473.54
2025-03,Nyanza,Staples,37200.71
2025-03,Rift Valley,Beverages,76537.0
2025-03,Rift Valley,Household,123792.72
2025-03,Rift Valley,Personal Care,134085.99
2025-03,Rift Valley,Snacks,22818.53
2025-03,Rift Valley,Staples,52984.48
2025-03,Western,Beverages,11005.58
2025-03,Western,Household,29082.57
2025-03,Western,Personal Care,71241.93
2025-03,Western,Snacks,13350.27
2025-03,Western,Staples,8566.71
2025-04,Central,Beverages,44300.98
2025-04,Central,Household,77072.04
2025-04,Central,Personal Care,109661.64
2025-04,Central,Snacks,39644.68
2025-04,Central,Staples,31837.19
2025-04,Coast,Beverages,12253.9
2025-04,Coast,Household,40933.18
2025-04,Coast,Personal Care,61821.91
2025-04,Coast,Snacks,5262.68
2025-04,Coast,Staples,29249.62
2025-04,Eastern,Beverages,1016.5
2025-04,Eastern,Household,17614.21
2025-04,Eastern,Personal Care,52003.28
2025-04,Eastern,Snacks,2637.5
2025-04,Eastern,Staples,37770.23
2025-04,Nairobi,Beverages,96297.42
2025-04,Nairobi,Household,259343.9
2025-04,Nairobi,Personal Care,402389.48
2025-04,Nairobi,Snacks,92306.79
2025-04,Nairobi,Staples,147312.33
2025-04,Nyanza,Beverages,17324.76
2025-04,Nyanza,Household,103373.79
2025-04,Nyanza,Personal Care,92898.7
2025-04,Nyanza,Snacks,25452.62
2025-04,Nyanza,Staples,41213.46
2025-04,Rift Valley,Beverages,37976.91
2025-04,Rift Valley,Household,119440.77
2025-04,Rift Valley,Personal Care,267333.52
2025-04,Rift Valley,Snacks,27920.08
2025-04,Rift Valley,Staples,60778.17
2025-04,Western,Beverages,26281.55
2025-04,Western,Household,30730.73
2025-04,Western,Personal Care,101892.57
2025-04,Western,Snacks,27104.67
2025-04,Western,Staples,57411.01
2025-05,Central,Beverages,42332.37
2025-05,Central,Household,74614.35
2025-05,Central,Personal Care,130508.28
2025-05,Central,Snacks,14001.77
2025-05,Central,Staples,39178.37
2025-05,Coast,Beverages,17385.89
2025-05,Coast,Household,101836.74
2025-05,Coast,Personal Care,22939.89
2025-05,Coast,Snacks,14648.81
2025-05,Coast,Staples,25809.84
2025-05,Eastern,Beverages,12411.87
2025-05,Eastern,Household,69968.05
2025-05,Eastern,Personal Care,124609.97
2025-05,Eastern,Snacks,27745.26
2025-05,Eastern,Staples,55649.44
2025-05,Nairobi,Beverages,139934.02
2025-05,Nairobi,Household,219150.48
2025-05,Nairobi,Personal Care,390305.04
2025-05,Nairobi,Snacks,74889.56
2025-05,Nairobi,Staples,112000.23
2025-05,Nyanza,Beverages,42415.55
2025-05,Nyanza,Household,29382.78
2025-05,Nyanza,Personal Care,68711.33
2025-05,Nyanza,Snacks,17365.07
2025-05,Nyanza,Staples,31170.74
2025-05,Rift Valley,Beverages,35120.89
2025-05,Rift Valley,Household,191946.22
2025-05,Rift Valley,Personal Care,213929.89
2025-05,Rift Valley,Snacks,30870.26
2025-05,Rift Valley,Staples,54860.94
2025-05,Western,Beverages,5790.34
2025-05,Western,Household,32755.09
2025-05,Western,Personal Care,50775.16
2025-05,Western,Snacks,4642.01
2025-05,Western,Staples,27821.57
2025-06,Central,Beverages,20547.72
2025-06,Central,Household,96466.15
2025-06,Central,Personal Care,39180.91
2025-06,Central,Snacks,16366.43
2025-06,Central,Staples,33680.99
2025-06,Coast,Beverages,27646.27
2025-06,Coast,Household,31112.89
2025-06,Coast,Personal Care,148871.15
2025-06,Coast,Snacks,7085.29
2025-06,Coast,Staples,17244.97
2025-06,Eastern,Beverages,24960.82
2025-06,Eastern,Household,35967.45
2025-06,Eastern,Personal Care,63033.06
2025-06,Eastern,Snacks,17102.34
2025-06,Eastern,Staples,24027.55
2025-06,Nairobi,Beverages,110666.97
2025-06,Nairobi,Household,175200.54
2025-06,Nairobi,Personal Care,361843.23
2025-06,Nairobi,Snacks,66459.41
2025-06,Nairobi,Staples,180137.33
2025-06,Nyanza,Beverages,21665.78
2025-06,Nyanza,Household,46083.71
2025-06,Nyanza,Personal Care,77716.28
2025-06,Nyanza,Snacks,9946.04
2025-06,Nyanza,Staples,45525.2
2025-06,Rift Valley,Beverages,62637.35
2025-06,Rift Valley,Household,183765.76
2025-06,Rift Valley,Personal Care,208130.51
2025-06,Rift Valley,Snacks,37300.17
2025-06,Rift Valley,Staples,102679.45
2025-06,Western,Beverages,20901.73
2025-06,Western,Household,70301.4
2025-06,Western,Personal Care,106786.84
2025-06,Western,Snacks,15919.62
2025-06,Western,Staples,36673.31
2025-07,Central,Beverages,51965.3
2025-07,Central,Household,54264.3
2025-07,Central,Personal Care,189879.94
2025-07,Central,Snacks,50790.21
2025-07,Central,Staples,83617.07
2025-07,Coast,Beverages,21963.34
2025-07,Coast,Household,77259.42
2025-07,Coast,Personal Care,16890.73
2025-07,Coast,Snacks,7018.13
2025-07,Coast,Staples,24248.36
2025-07,Eastern,Beverages,20591.3
2025-07,Eastern,Household,47008.25
2025-07,Eastern,Personal Care,35878.62
2025-07,Eastern,Snacks,9542.12
2025-07,Eastern,Staples,21582.04
2025-07,Nairobi,Beverages,105093.62
2025-07,Nairobi,Household,115457.58
2025-07,Nairobi,Personal Care,274978.82
2025-07,Nairobi,Snacks,71726.62
2025-07,Nairobi,Staples,138587.76
2025-07,Nyanza,Beverages,63696.28
2025-07,Nyanza,Household,86134.85
2025-07,Nyanza,Personal Care,66792.16
2025-07,Nyanza,Snacks,35992.77
2025-07,Nyanza,Staples,98806.0
2025-07,Rift Valley,Beverages,50657.03
2025-07,Rift Valley,Household,179127.13
2025-07,Rift Valley,Personal Care,246434.95
2025-07,Rift Valley,Snacks,17544.13
2025-07,Rift Valley,Staples,104335.04
2025-07,Western,Beverages,10840.76
2025-07,Western,Household,48949.86
2025-07,Western,Personal Care,37383.19
2025-07,Western,Snacks,18864.11
2025-07,Western,Staples,26414.98
2025-08,Central,Beverages,58037.07
2025-08,Central,Household,114338.04
2025-08,Central,Personal Care,63017.14
2025-08,Central,Snacks,30017.34
2025-08,Central,Staples,32758.75
2025-08,Coast,Beverages,16719.44
2025-08,Coast,Household,33702.17
2025-08,Coast,Personal Care,21449.37
2025-08,Coast,Snacks,18452.87
2025-08,Coast,Staples,32414.28
2025-08,Eastern,Beverages,19580.72
2025-08,Eastern,Household,47431.05
2025-08,Eastern,Personal Care,34461.93
2025-08,Eastern,Snacks,8084.7
2025-08,Eastern,Staples,16713.77
2025-08,Nairobi,Beverages,86778.61
2025-08,Nairobi,Household,187076.34
2025-08,Nairobi,Personal Care,232497.89
2025-08,Nairobi,Snacks,110066.45
2025-08,Nairobi,Staples,165646.11
2025-08,Nyanza,Beverages,7425.74
2025-08,Nyanza,Household,53985.72
2025-08,Nyanza,Personal Care,43858.54
2025-08,Nyanza,Snacks,18298.93
2025-08,Nyanza,Staples,36686.35
2025-08,Rift Valley,Beverages,20928.1
2025-08,Rift Valley,Household,123099.54
2025-08,Rift Valley,Personal Care,185607.2
2025-08,Rift Valley,Snacks,39626.64
2025-08,Rift Valley,Staples,69945.03
2025-08,Western,Beverages,10435.66
2025-08,Western,Household,269116.49
2025-08,Western,Personal Care,156845.07
2025-08,Western,Snacks,21569.31
2025-08,Western,Staples,107217.22
2025-09,Central,Beverages,41812.28
2025-09,Central,Household,58572.08
2025-09,Central,Personal Care,186507.54
2025-09,Central,Snacks,21625.02
2025-09,Central,Staples,60439.51
2025-09,Coast,Beverages,26878.9
2025-09,Coast,Household,47714.51
2025-09,Coast,Personal Care,46312.28
2025-09,Coast,Snacks,7090.26
2025-09,Coast,Staples,38258.7
2025-09,Eastern,Beverages,9619.72
2025-09,Eastern,Household,65305.74
2025-09,Eastern,Personal Care,65888.64
2025-09,Eastern,Snacks,5364.71
2025-09,Eastern,Staples,11142.7
2025-09,Nairobi,Beverages,102314.0
2025-09,Nairobi,Household,180594.29
2025-09,Nairobi,Personal Care,415288.76
2025-09,Nairobi,Snacks,89023.36
